.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Belfast
Latitude, 54.663, Longitude, -6.222, Altitude,63

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1995,1,1,1,1010.3,4,0.2,-0.2,93,1010.3,290,3.1,0,0,-58.4,-23,0,0,0,0,0,0
1995,1,1,2,1011.3,7,0.7,0,88,1011.3,300,3.6,0,0,-56.3,-23,0,0,0,0,0,0
1995,1,1,3,1011.7,5,0.5,0.3,96.5,1011.7,290,7.7,0,0,-51.1,-23,0,0,0,0,0,0
1995,1,1,4,1011.7,6,0.9,0.5,93.2,1011.7,280,5.1,0,0,-43.8,-23,0,0,0,0,0,0
1995,1,1,5,1012.2,5,0.8,0.5,94.9,1012.2,290,4.6,0,0,-35.6,-23,0,0,0,0,0,0
1995,1,1,6,1012.3,6,1.3,0.7,90,1012.3,290,9.3,0,0,-26.9,-23,0,0,0,0,0,0
1995,1,1,7,1012.5,6,1.1,0.5,89.9,1012.5,300,5.7,0,0,-18.4,-23,0,0,0,0,0,0
1995,1,1,8,1012.3,2,1,0.5,91.5,1012.3,260,6.2,0,0,-10.2,-23,0,0,0,0,0,0
1995,1,1,9,1012.4,6,1.5,0.8,88.5,1012.4,310,4.6,0.6,0,-2.8,-23,0,0,0,0,0,0
1995,1,1,10,1013.4,7,2,1.3,88.7,1013.4,290,6.2,18.2,0,3.5,-23,0,0,0,0,0,0
1995,1,1,11,1013.5,3,1.6,1.3,95,1013.5,310,6.7,98.4,410.8,8.3,-23,0,0,0,0,0,0
1995,1,1,12,1014.1,6,2.4,1.8,90.5,1014.1,300,5.7,106.7,166.5,11.3,-23,0,0,0,0,0,0
1995,1,1,13,1014.4,3,3.5,2.1,79,1014.4,310,5.1,159.8,450.5,12.3,-23,0,0,0,0,0,0
