.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Birmingham
Latitude, 52.452, Longitude, -1.741, Altitude,96

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2006,1,1,1,991,7,5.1,4.8,95.8,991,220,3.6,0,0,-60.3,-23,0,0,0,0,0,0
2006,1,1,2,991.5,7,5.3,5,95.8,991.5,230,2.6,0,0,-56.8,-23,0,0,0,0,0,0
2006,1,1,3,992,8,6.1,5.6,93.2,992,260,4.1,0,0,-50.3,-23,0,0,0,0,0,0
2006,1,1,4,993.1,7,6.4,5.8,92,993.1,290,5.1,0,0,-42.1,-23,0,0,0,0,0,0
2006,1,1,5,994,7,6.2,5.5,90.6,994,310,4.6,0,0,-33.2,-23,0,0,0,0,0,0
2006,1,1,6,995,7,6.3,5.5,89.3,995,320,4.6,0,0,-24.1,-23,0,0,0,0,0,0
2006,1,1,7,996.1,8,6.3,5.7,91.9,996.1,330,5.7,0,0,-15.2,-23,0,0,0,0,0,0
2006,1,1,8,997.5,8,6,5.6,94.5,997.5,320,3.6,0,0,-6.8,-23,0,0,0,0,0,0
2006,1,1,9,999,8,5.9,5.3,91.8,999,320,5.1,6.6,0,0.6,-23,0,0,0,0,0,0
2006,1,1,10,1000.7,7,5.7,5.2,93.1,1000.7,310,4.6,42.2,0,6.8,-23,0,0,0,0,0,0
2006,1,1,11,1002.4,7,5.7,5.1,91.7,1002.4,310,4.1,78.6,65.2,11.4,-23,0,0,0,0,0,0
2006,1,1,12,1003.6,7,5.9,5.2,90.4,1003.6,320,4.6,99.7,67.5,14,-23,0,0,0,0,0,0
2006,1,1,13,1004.3,5,7,6.1,88.2,1004.3,320,5.7,166.7,285.7,14.4,-23,0,0,0,0,0,0
2006,1,1,14,1005.1,1,7.1,6.1,87,1005.1,330,5.7,167.8,531.6,12.6,-23,0,0,0,0,0,0
2006,1,1,15,1005.9,3,7.5,6.5,87.2,1005.9,330,7.2,103.7,415.7,8.6,-23,0,0,0,0,0,0
2006,1,1,16,1007.1,5,7.1,6,85.7,1007.1,330,5.7,15.6,0,3,-23,0,0,0,0,0,0
2006,1,1,17,1008.7,5,6.8,5.8,86.8,1008.7,330,4.6,0.1,0,-4.1,-23,0,0,0,0,0,0
2006,1,1,18,1010.2,7,6.5,5.6,88,1010.2,310,3.6,0,0,-12.2,-23,0,0,0,0,0,0
2006,1,1,19,1011.5,7,6.4,5.5,87.9,1011.5,320,5.1,0,0,-20.9,-23,0,0,0,0,0,0
2006,1,1,20,1012.8,7,6.2,5.4,89.2,1012.8,330,4.6,0,0,-30,-23,0,0,0,0,0,0
2006,1,1,21,1014,7,6,5.3,90.4,1014,330,4.1,0,0,-39.1,-23,0,0,0,0,0,0
2006,1,1,22,1014.8,7,6.1,5.3,89.1,1014.8,330,3.6,0,0,-47.6,-23,0,0,0,0,0,0
2006,1,1,23,1015.9,7,6,5.1,87.7,1015.9,320,2.1,0,0,-54.8,-23,0,0,0,0,0,0
2006,1,1,24,1017.1,7,5.6,4.9,90.2,1017.1,330,2.1,0,0,-59.5,-23,0,0,0,0,0,0
2006,1,2,1,1017.6,8,5.5,4.8,90.2,1017.6,320,2.1,0,0,-60.2,-22.9,0,0,0,0,0,0
2006,1,2,2,1018.3,7,5.4,4.7,90.2,1018.3,320,1.5,0,0,-56.8,-22.9,0,0,0,0,0,0
2006,1,2,3,1019,8,5.3,4.7,91.5,1019,300,2.6,0,0,-50.3,-22.9,0,0,0,0,0,0
2006,1,2,4,1020,7,4.7,4.2,92.7,1020,330,1.5,0,0,-42.1,-22.9,0,0,0,0,0,0
2006,1,2,5,1020.5,2,3.5,3.2,95.4,1020.5,330,1,0,0,-33.2,-22.9,0,0,0,0,0,0
2006,1,2,6,1021.3,2,1.9,1.7,96.7,1021.3,270,2.6,0,0,-24.1,-22.9,0,0,0,0,0,0
2006,1,2,7,1022.1,1,1.3,1.1,96.6,1022.1,0,0,0,0,-15.2,-22.9,0,0,0,0,0,0
2006,1,2,8,1022.7,1,-0.2,-0.3,98.3,1022.7,0,0,0,0,-6.8,-22.9,0,0,0,0,0,0
2006,1,2,9,1023.3,1,0.2,0,96.5,1023.3,340,0.5,6.7,0,0.7,-22.9,0,0,0,0,0,0
2006,1,2,10,1024,3,-0.1,-0.3,96.7,1024,200,1.5,42.6,0,6.9,-22.9,0,0,0,0,0,0
2006,1,2,11,1024.7,7,1.5,1.4,98.3,1024.7,200,0.5,79.1,65.2,11.5,-22.9,0,0,0,0,0,0
2006,1,2,12,1025.2,8,1.9,1.8,98.4,1025.2,160,1.5,47.9,0,14.1,-22.9,0,0,0,0,0,0
2006,1,2,13,1025,7,3.7,3.5,97,1025,170,1,103.6,67.9,14.5,-22.9,0,0,0,0,0,0
2006,1,2,14,1024.7,8,4.8,4.4,94.2,1024.7,170,0.5,42.4,0,12.7,-22.9,0,0,0,0,0,0
2006,1,2,15,1024.8,7,5.6,5.1,93,1024.8,170,1.5,56.8,61.2,8.8,-22.9,0,0,0,0,0,0
2006,1,2,16,1025.1,8,6,5.5,93.1,1025.1,160,1.5,16.2,0,3.1,-22.9,0,0,0,0,0,0
2006,1,2,17,1025.5,7,5.5,5.1,94.4,1025.5,170,2.6,0.1,0,-4,-22.9,0,0,0,0,0,0
2006,1,2,18,1025.7,7,4.8,4.5,95.6,1025.7,180,2.1,0,0,-12.1,-22.9,0,0,0,0,0,0
2006,1,2,19,1025.8,7,4.7,4.3,94.2,1025.8,180,2.6,0,0,-20.8,-22.9,0,0,0,0,0,0
2006,1,2,20,1026,7,4.8,4.4,94.2,1026,170,1.5,0,0,-29.9,-22.9,0,0,0,0,0,0
2006,1,2,21,1026.2,7,4.6,4.3,95.6,1026.2,170,2.6,0,0,-38.9,-22.9,0,0,0,0,0,0
2006,1,2,22,1026.3,8,4.7,4.4,95.6,1026.3,170,2.6,0,0,-47.4,-22.9,0,0,0,0,0,0
2006,1,2,23,1026.5,8,4.7,4.3,94.2,1026.5,170,1,0,0,-54.7,-22.9,0,0,0,0,0,0
2006,1,2,24,1026.3,8,4.7,4.4,95.6,1026.3,170,2.6,0,0,-59.4,-22.9,0,0,0,0,0,0
2006,1,3,1,1025.9,8,4.8,4.5,95.6,1025.9,160,2.1,0,0,-60.2,-22.8,0,0,0,0,0,0
2006,1,3,2,1025.8,8,5.1,4.8,95.7,1025.8,200,2.6,0,0,-56.7,-22.8,0,0,0,0,0,0
2006,1,3,3,1026.2,8,5.7,5.4,95.8,1026.2,190,3.1,0,0,-50.3,-22.8,0,0,0,0,0,0
2006,1,3,4,1025.8,8,5.8,5.4,94.4,1025.8,190,3.1,0,0,-42.1,-22.8,0,0,0,0,0,0
2006,1,3,5,1025.6,8,6.1,5.8,95.9,1025.6,190,4.1,0,0,-33.2,-22.8,0,0,0,0,0,0
2006,1,3,6,1025.1,8,6.2,5.9,95.9,1025.1,190,4.6,0,0,-24.1,-22.8,0,0,0,0,0,0
2006,1,3,7,1025.1,8,6.3,6,95.9,1025.1,180,4.1,0,0,-15.2,-22.8,0,0,0,0,0,0
2006,1,3,8,1025.1,8,6.6,6.4,97.3,1025.1,190,3.6,0,0,-6.8,-22.8,0,0,0,0,0,0
2006,1,3,9,1025.5,7,6.7,6.5,97.3,1025.5,180,2.6,6.8,0,0.7,-22.8,0,0,0,0,0,0
2006,1,3,10,1025.7,8,7.3,7.1,97.4,1025.7,210,3.6,42.9,0,6.9,-22.8,0,0,0,0,0,0
2006,1,3,11,1026.2,8,7.6,7.3,96.1,1026.2,200,3.6,38,0,11.5,-22.8,0,0,0,0,0,0
2006,1,3,12,1026.4,8,7.9,7.7,97.4,1026.4,200,3.6,48.2,0,14.2,-22.8,0,0,0,0,0,0
2006,1,3,13,1026.3,8,8.7,8.4,96.2,1026.3,230,2.6,49.8,0,14.6,-22.8,0,0,0,0,0,0
2006,1,3,14,1026.6,8,8.9,8.6,96.3,1026.6,250,2.1,42.8,0,12.8,-22.8,0,0,0,0,0,0
2006,1,3,15,1026.5,8,9.1,8.9,97.5,1026.5,250,1.5,27.6,0,8.9,-22.8,0,0,0,0,0,0
2006,1,3,16,1027.1,8,9.1,8.8,96.3,1027.1,330,3.6,16.9,0,3.2,-22.8,0,0,0,0,0,0
2006,1,3,17,1027.6,8,8.9,8.6,96.3,1027.6,330,1.5,0.1,0,-3.8,-22.8,0,0,0,0,0,0
2006,1,3,18,1028.2,7,8.9,8.5,95,1028.2,330,2.6,0,0,-11.9,-22.8,0,0,0,0,0,0
2006,1,3,19,1028.7,7,8.6,8.1,93.7,1028.7,330,2.1,0,0,-20.7,-22.8,0,0,0,0,0,0
2006,1,3,20,1029.2,6,8,7.6,94.9,1029.2,350,3.1,0,0,-29.7,-22.8,0,0,0,0,0,0
2006,1,3,21,1029.6,5,6.8,6.5,96,1029.6,10,3.1,0,0,-38.8,-22.8,0,0,0,0,0,0
2006,1,3,22,1030,3,4.7,4.6,98.5,1030,350,2.1,0,0,-47.3,-22.8,0,0,0,0,0,0
2006,1,3,23,1030.4,4,3.9,3.8,98.5,1030.4,350,2.6,0,0,-54.5,-22.8,0,0,0,0,0,0
2006,1,3,24,1030.8,4,3.1,2.9,96.9,1030.8,360,1.5,0,0,-59.2,-22.8,0,0,0,0,0,0
2006,1,4,1,1031.2,7,4.7,4.5,97.1,1031.2,360,3.1,0,0,-60.1,-22.7,0,0,0,0,0,0
2006,1,4,2,1031.2,8,4.8,4.6,97.1,1031.2,10,2.6,0,0,-56.7,-22.7,0,0,0,0,0,0
2006,1,4,3,1031.3,8,4.9,4.7,97.1,1031.3,10,3.1,0,0,-50.3,-22.7,0,0,0,0,0,0
2006,1,4,4,1031.4,8,4.8,4.6,97.1,1031.4,10,3.6,0,0,-42.1,-22.7,0,0,0,0,0,0
2006,1,4,5,1031.5,8,4.9,4.7,97.1,1031.5,20,2.6,0,0,-33.2,-22.7,0,0,0,0,0,0
2006,1,4,6,1031.3,8,5,4.7,95.7,1031.3,30,2.1,0,0,-24.1,-22.7,0,0,0,0,0,0
2006,1,4,7,1031.2,8,5.2,4.8,94.3,1031.2,40,2.6,0,0,-15.2,-22.7,0,0,0,0,0,0
2006,1,4,8,1031.2,8,4.8,4.5,95.6,1031.2,20,2.1,0,0,-6.8,-22.7,0,0,0,0,0,0
2006,1,4,9,1031.2,8,5.2,4.7,92.9,1031.2,50,2.6,6.8,0,0.7,-22.7,0,0,0,0,0,0
2006,1,4,10,1031.7,8,4.7,4.5,97.1,1031.7,20,2.1,43.5,0,7,-22.7,0,0,0,0,0,0
2006,1,4,11,1031.7,7,4.9,4.7,97.1,1031.7,20,2.1,80.2,65.4,11.6,-22.7,0,0,0,0,0,0
2006,1,4,12,1031.8,8,4.8,4.6,97.1,1031.8,20,2.6,48.5,0,14.3,-22.7,0,0,0,0,0,0
2006,1,4,13,1031.2,8,5.4,5,94.3,1031.2,30,2.1,50.3,0,14.7,-22.7,0,0,0,0,0,0
2006,1,4,14,1030.8,7,5.7,5.2,93,1030.8,50,3.1,90.7,66.6,12.9,-22.7,0,0,0,0,0,0
2006,1,4,15,1029.8,4,5.7,5.1,91.6,1029.8,10,2.6,104.5,350.4,9,-22.7,0,0,0,0,0,0
2006,1,4,16,1029.7,6,5.6,5.1,93,1029.7,20,2.6,17.6,0,3.4,-22.7,0,0,0,0,0,0
2006,1,4,17,1029.5,7,5.5,4.9,91.5,1029.5,50,2.1,0.2,0,-3.7,-22.7,0,0,0,0,0,0
2006,1,4,18,1029.4,6,4.9,4.5,94.2,1029.4,50,3.1,0,0,-11.8,-22.7,0,0,0,0,0,0
2006,1,4,19,1029.5,8,4.6,4.3,95.6,1029.5,60,2.6,0,0,-20.5,-22.7,0,0,0,0,0,0
2006,1,4,20,1029.6,8,5,4.7,95.7,1029.6,90,2.1,0,0,-29.6,-22.7,0,0,0,0,0,0
2006,1,4,21,1029.9,3,4.1,3.3,88.1,1029.9,130,4.1,0,0,-38.6,-22.7,0,0,0,0,0,0
2006,1,4,22,1029.8,6,3.4,2.9,92.3,1029.8,110,3.1,0,0,-47.2,-22.7,0,0,0,0,0,0
2006,1,4,23,1029.4,6,2.6,2.2,93.6,1029.4,100,2.1,0,0,-54.4,-22.7,0,0,0,0,0,0
2006,1,4,24,1029.3,7,1.8,1.4,93.4,1029.3,80,1.5,0,0,-59.1,-22.7,0,0,0,0,0,0
2006,1,5,1,1028.7,7,1.7,1.4,95,1028.7,80,2.1,0,0,-60,-22.6,0,0,0,0,0,0
2006,1,5,2,1028.1,7,2.2,1.8,93.5,1028.1,70,1.5,0,0,-56.6,-22.6,0,0,0,0,0,0
