.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Cardiff
Latitude, 51.4, Longitude, -3.343, Altitude,57

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2006,1,1,1,994,6,7.6,6.7,88.5,994,290,7.2,0,0,-61.5,-23,0,0,0,0,0,0
2006,1,1,2,994.9,4,7.6,6.7,88.5,994.9,290,8.7,0,0,-58.3,-23,0,0,0,0,0,0
2006,1,1,3,995.7,3,7.5,6.5,87.2,995.7,290,8.7,0,0,-51.8,-23,0,0,0,0,0,0
2006,1,1,4,996.9,6,7.7,6.7,87.3,996.9,290,7.7,0,0,-43.5,-23,0,0,0,0,0,0
2006,1,1,5,997.5,7,7.7,6.7,87.3,997.5,290,7.7,0,0,-34.4,-23,0,0,0,0,0,0
2006,1,1,6,998.4,8,7.9,7,88.6,998.4,290,8.2,0,0,-25,-23,0,0,0,0,0,0
2006,1,1,7,999.4,8,7.7,7,91.1,999.4,300,8.2,0,0,-15.9,-23,0,0,0,0,0,0
2006,1,1,8,1000.5,7,7.9,6.9,87.4,1000.5,290,8.7,0,0,-7.3,-23,0,0,0,0,0,0
2006,1,1,9,1001.9,7,7.9,6.7,84.9,1001.9,300,8.2,6.2,0,0.5,-23,0,0,0,0,0,0
2006,1,1,10,1003.4,7,7.6,6.8,89.8,1003.4,300,7.2,42.7,57.2,7,-23,0,0,0,0,0,0
2006,1,1,11,1004.8,7,7.9,6.4,81.2,1004.8,320,8.2,83,65.7,12,-23,0,0,0,0,0,0
2006,1,1,12,1006,5,7.9,6.4,81.2,1006,320,7.7,172.8,287,14.9,-23,0,0,0,0,0,0
2006,1,1,13,1006.9,8,8.2,6.6,80.2,1006.9,320,7.2,53.5,0,15.6,-23,0,0,0,0,0,0
2006,1,1,14,1007.5,7,8.2,6.8,82.6,1007.5,310,6.2,98.9,67.5,13.9,-23,0,0,0,0,0,0
2006,1,1,15,1008.5,8,8.1,6.9,85,1008.5,310,6.7,32.4,0,10.1,-23,0,0,0,0,0,0
2006,1,1,16,1009.9,8,8,7,87.4,1009.9,300,5.7,24.1,0,4.5,-23,0,0,0,0,0,0
2006,1,1,17,1011.1,8,8.2,7,85,1011.1,310,6.2,0.8,0,-2.6,-23,0,0,0,0,0,0
2006,1,1,18,1012.3,8,8.1,7.1,87.4,1012.3,300,4.6,0,0,-10.8,-23,0,0,0,0,0,0
2006,1,1,19,1013.3,8,8,7,87.4,1013.3,300,4.1,0,0,-19.7,-23,0,0,0,0,0,0
2006,1,1,20,1014.3,7,7.7,7,91,1014.3,290,3.6,0,0,-28.9,-23,0,0,0,0,0,0
2006,1,1,21,1015.7,7,7.3,6.5,89.6,1015.7,270,1.5,0,0,-38.2,-23,0,0,0,0,0,0
2006,1,1,22,1016.8,1,6.4,5.6,89.2,1016.8,300,2.6,0,0,-47.1,-23,0,0,0,0,0,0
2006,1,1,23,1017.7,4,6.1,5.3,89.1,1017.7,320,2.6,0,0,-54.8,-23,0,0,0,0,0,0
2006,1,1,24,1018.4,7,6.4,5.7,90.5,1018.4,310,3.1,0,0,-60.1,-23,0,0,0,0,0,0
2006,1,2,1,1019.1,7,6.3,5.7,91.8,1019.1,320,2.1,0,0,-61.4,-22.9,0,0,0,0,0,0
2006,1,2,2,1019.6,7,6.3,5.7,91.8,1019.6,310,2.6,0,0,-58.3,-22.9,0,0,0,0,0,0
2006,1,2,3,1020.3,8,6.5,5.8,90.6,1020.3,330,2.1,0,0,-51.8,-22.9,0,0,0,0,0,0
2006,1,2,4,1021,8,6.5,6,93.2,1021,290,2.1,0,0,-43.5,-22.9,0,0,0,0,0,0
2006,1,2,5,1021.6,8,6.6,6.2,94.6,1021.6,310,2.1,0,0,-34.4,-22.9,0,0,0,0,0,0
2006,1,2,6,1022.1,8,6.4,6,94.6,1022.1,310,2.6,0,0,-25,-22.9,0,0,0,0,0,0
2006,1,2,7,1022.6,8,6.5,6.1,94.6,1022.6,340,2.6,0,0,-15.9,-22.9,0,0,0,0,0,0
2006,1,2,8,1023.2,8,6.5,6.1,94.6,1023.2,340,2.1,0,0,-7.2,-22.9,0,0,0,0,0,0
2006,1,2,9,1023.5,8,6.5,5.9,91.9,1023.5,330,2.6,6.3,0,0.5,-22.9,0,0,0,0,0,0
2006,1,2,10,1024.2,8,6.6,6,91.9,1024.2,330,2.6,20.5,0,7.1,-22.9,0,0,0,0,0,0
2006,1,2,11,1025,3,7.6,7,92.2,1025,260,1.5,155.1,448.4,12,-22.9,0,0,0,0,0,0
2006,1,2,12,1025.5,4,8.2,7.4,89.9,1025.5,300,1.5,190.2,387.1,15,-22.9,0,0,0,0,0,0
2006,1,2,13,1025.6,7,8.3,7.5,89.9,1025.6,290,2.6,112.8,68.6,15.7,-22.9,0,0,0,0,0,0
2006,1,2,14,1025.3,8,8.5,7.7,90,1025.3,270,2.6,47.6,0,14,-22.9,0,0,0,0,0,0
2006,1,2,15,1025.5,8,8.3,7.5,89.9,1025.5,290,3.1,32.9,0,10.2,-22.9,0,0,0,0,0,0
2006,1,2,16,1025.7,8,8.2,7.5,91.1,1025.7,290,3.6,25,0,4.6,-22.9,0,0,0,0,0,0
2006,1,2,17,1026.1,7,7.8,7.1,91,1026.1,280,2.6,0.9,0,-2.5,-22.9,0,0,0,0,0,0
2006,1,2,18,1026.4,8,7.3,6.6,90.8,1026.4,290,2.1,0,0,-10.6,-22.9,0,0,0,0,0,0
2006,1,2,19,1026.6,8,7.3,6.8,93.4,1026.6,280,1.5,0,0,-19.5,-22.9,0,0,0,0,0,0
2006,1,2,20,1026.5,8,6.9,6.6,96,1026.5,300,1,0,0,-28.8,-22.9,0,0,0,0,0,0
2006,1,2,21,1026.8,8,6.5,6.3,97.3,1026.8,0,0,0,0,-38.1,-22.9,0,0,0,0,0,0
2006,1,2,22,1027,8,6.4,6.3,98.6,1027,0,0,0,0,-47,-22.9,0,0,0,0,0,0
2006,1,2,23,1027,8,6.5,6.4,98.6,1027,150,1.5,0,0,-54.7,-22.9,0,0,0,0,0,0
2006,1,2,24,1027,8,7.1,6.9,97.3,1027,150,1.5,0,0,-60,-22.9,0,0,0,0,0,0
2006,1,3,1,1026.9,8,7.4,7,94.7,1026.9,170,2.1,0,0,-61.4,-22.8,0,0,0,0,0,0
2006,1,3,2,1026.9,8,7.3,7.1,97.4,1026.9,210,2.1,0,0,-58.2,-22.8,0,0,0,0,0,0
2006,1,3,3,1026.9,8,7.8,7.5,96.1,1026.9,230,2.1,0,0,-51.8,-22.8,0,0,0,0,0,0
2006,1,3,4,1026.7,8,7.7,7.5,97.4,1026.7,200,1.5,0,0,-43.5,-22.8,0,0,0,0,0,0
2006,1,3,5,1026.7,8,7.9,7.7,97.4,1026.7,220,1,0,0,-34.4,-22.8,0,0,0,0,0,0
2006,1,3,6,1026.5,8,8.4,8.1,96.2,1026.5,270,3.1,0,0,-25,-22.8,0,0,0,0,0,0
2006,1,3,7,1026.4,7,8.4,8.2,97.5,1026.4,250,2.6,0,0,-15.9,-22.8,0,0,0,0,0,0
2006,1,3,8,1026.2,8,8.8,8.5,96.3,1026.2,250,3.6,0,0,-7.2,-22.8,0,0,0,0,0,0
2006,1,3,9,1026.4,7,9.1,8.9,97.5,1026.4,250,3.6,6.3,0,0.6,-22.8,0,0,0,0,0,0
2006,1,3,10,1026.7,7,9.4,9.3,98.8,1026.7,250,4.1,43.4,57.4,7.1,-22.8,0,0,0,0,0,0
2006,1,3,11,1027.2,7,9.6,9.5,98.8,1027.2,240,3.1,83.9,65.9,12.1,-22.8,0,0,0,0,0,0
2006,1,3,12,1027.3,8,9.7,9.6,98.8,1027.3,250,3.6,51.5,0,15,-22.8,0,0,0,0,0,0
2006,1,3,13,1027.2,8,9.7,9.6,98.8,1027.2,260,4.6,54.2,0,15.7,-22.8,0,0,0,0,0,0
2006,1,3,14,1027,8,9.9,9.9,100,1027,270,4.1,48.1,0,14.1,-22.8,0,0,0,0,0,0
2006,1,3,15,1026.8,8,9.9,9.9,100,1026.8,280,4.6,33.4,0,10.4,-22.8,0,0,0,0,0,0
2006,1,3,16,1027.2,0,9.7,9.6,98.8,1027.2,280,4.1,25.9,0,4.7,-22.8,0,0,0,0,0,0
2006,1,3,17,1027.8,7,9.7,9.7,100,1027.8,270,2.1,1,0,-2.4,-22.8,0,0,0,0,0,0
2006,1,3,18,1028.1,7,9.6,9.6,100,1028.1,290,3.1,0,0,-10.5,-22.8,0,0,0,0,0,0
2006,1,3,19,1028.2,7,9.7,9.7,100,1028.2,300,2.1,0,0,-19.4,-22.8,0,0,0,0,0,0
2006,1,3,20,1028.8,8,9.5,9.4,98.8,1028.8,40,3.6,0,0,-28.7,-22.8,0,0,0,0,0,0
2006,1,3,21,1029.1,8,9.2,9,97.5,1029.1,60,4.1,0,0,-38,-22.8,0,0,0,0,0,0
2006,1,3,22,1029.3,3,8.3,7.8,93.7,1029.3,50,4.1,0,0,-46.8,-22.8,0,0,0,0,0,0
2006,1,3,23,1029.3,7,7.3,6.7,92.1,1029.3,20,3.1,0,0,-54.5,-22.8,0,0,0,0,0,0
2006,1,3,24,1029.8,7,7.1,6.5,92,1029.8,180,1,0,0,-59.9,-22.8,0,0,0,0,0,0
2006,1,4,1,1030.2,7,7.2,6.3,88.2,1030.2,20,0.5,0,0,-61.3,-22.7,0,0,0,0,0,0
2006,1,4,2,1030.1,8,6.8,5.9,88,1030.1,30,3.6,0,0,-58.2,-22.7,0,0,0,0,0,0
2006,1,4,3,1030.3,8,6.9,6.3,92,1030.3,40,3.6,0,0,-51.8,-22.7,0,0,0,0,0,0
2006,1,4,4,1030.5,7,6.3,5.8,93.2,1030.5,10,2.6,0,0,-43.5,-22.7,0,0,0,0,0,0
2006,1,4,5,1030.5,8,6.4,5.9,93.2,1030.5,60,2.6,0,0,-34.4,-22.7,0,0,0,0,0,0
2006,1,4,6,1030.3,8,5.9,5.1,88.9,1030.3,40,5.7,0,0,-25,-22.7,0,0,0,0,0,0
2006,1,4,7,1030.6,8,6.3,5.5,89.1,1030.6,50,3.6,0,0,-15.9,-22.7,0,0,0,0,0,0
2006,1,4,8,1030.7,8,6.1,5.2,87.7,1030.7,60,4.6,0,0,-7.2,-22.7,0,0,0,0,0,0
2006,1,4,9,1030.3,8,5.9,5.1,88.9,1030.3,70,4.1,6.4,0,0.6,-22.7,0,0,0,0,0,0
2006,1,4,10,1030.6,7,5.8,5.1,90.3,1030.6,60,4.1,43.7,57.5,7.2,-22.7,0,0,0,0,0,0
2006,1,4,11,1031,7,5.9,4.7,83.5,1031,70,6.2,84.4,65.9,12.1,-22.7,0,0,0,0,0,0
2006,1,4,12,1030.9,7,6.4,5,81.2,1030.9,60,5.7,108.6,68.3,15.1,-22.7,0,0,0,0,0,0
2006,1,4,13,1030.3,7,6.5,5.1,81.2,1030.3,60,5.1,114.4,68.7,15.9,-22.7,0,0,0,0,0,0
2006,1,4,14,1029.4,7,6.6,5.1,80,1029.4,80,5.7,101.7,67.7,14.3,-22.7,0,0,0,0,0,0
2006,1,4,15,1028.8,7,6.5,4.7,76,1028.8,70,5.7,71.1,64,10.5,-22.7,0,0,0,0,0,0
2006,1,4,16,1028.3,2,6.3,4.5,75.9,1028.3,60,5.7,26.8,0,4.9,-22.7,0,0,0,0,0,0
2006,1,4,17,1027.9,7,6.1,4.3,75.7,1027.9,60,5.7,1.1,0,-2.2,-22.7,0,0,0,0,0,0
2006,1,4,18,1028,7,5.6,4.3,82,1028,50,4.1,0,0,-10.4,-22.7,0,0,0,0,0,0
2006,1,4,19,1028,8,5.8,4.5,82.1,1028,50,3.6,0,0,-19.2,-22.7,0,0,0,0,0,0
2006,1,4,20,1028.1,8,5.8,4.8,86.2,1028.1,70,4.1,0,0,-28.5,-22.7,0,0,0,0,0,0
2006,1,4,21,1027.8,7,5.8,5.1,90.3,1027.8,80,5.1,0,0,-37.8,-22.7,0,0,0,0,0,0
2006,1,4,22,1027.4,8,5.7,5,90.2,1027.4,100,5.1,0,0,-46.7,-22.7,0,0,0,0,0,0
2006,1,4,23,1027.1,8,5.4,4.1,81.8,1027.1,90,7.2,0,0,-54.4,-22.7,0,0,0,0,0,0
2006,1,4,24,1027.1,2,3.3,2.4,86.2,1027.1,80,6.2,0,0,-59.7,-22.7,0,0,0,0,0,0
2006,1,5,1,1026.7,0,2,1.3,88.6,1026.7,80,4.6,0,0,-61.2,-22.6,0,0,0,0,0,0
2006,1,5,2,1026.2,0,2,1.4,90.2,1026.2,70,4.6,0,0,-58.1,-22.6,0,0,0,0,0,0
2006,1,5,3,1025.8,0,1.3,0.8,91.6,1025.8,70,4.1,0,0,-51.7,-22.6,0,0,0,0,0,0
2006,1,5,4,1025.3,7,2,1.5,91.9,1025.3,60,4.1,0,0,-43.5,-22.6,0,0,0,0,0,0
2006,1,5,5,1024.5,8,2.5,2,92,1024.5,70,4.6,0,0,-34.4,-22.6,0,0,0,0,0,0
2006,1,5,6,1023.6,8,2.4,1.7,88.8,1023.6,70,4.6,0,0,-25,-22.6,0,0,0,0,0,0
2006,1,5,7,1023,8,2.3,1.8,92,1023,80,5.7,0,0,-15.9,-22.6,0,0,0,0,0,0
2006,1,5,8,1022.4,8,2.5,1.9,90.5,1022.4,70,5.7,0,0,-7.2,-22.6,0,0,0,0,0,0
2006,1,5,9,1022,8,2.5,2,92,1022,70,3.6,6.6,0,0.6,-22.6,0,0,0,0,0,0
2006,1,5,10,1021.8,8,2.6,2.2,93.7,1021.8,70,4.1,21.1,0,7.2,-22.6,0,0,0,0,0,0
2006,1,5,11,1021.4,7,2.9,2.3,90.6,1021.4,80,4.6,85.1,66,12.2,-22.6,0,0,0,0,0,0
2006,1,5,12,1020.6,7,3.3,2.5,87.8,1020.6,90,5.1,109.3,68.4,15.2,-22.6,0,0,0,0,0,0
2006,1,5,13,1019.7,7,3.3,2.2,83.2,1019.7,100,5.1,115.3,68.8,16,-22.6,0,0,0,0,0,0
2006,1,5,14,1018.7,7,3.3,2.1,81.8,1018.7,100,5.7,102.7,67.8,14.4,-22.6,0,0,0,0,0,0
2006,1,5,15,1017.9,7,3.2,2.2,84.7,1017.9,90,5.1,72.2,64.2,10.6,-22.6,0,0,0,0,0,0
2006,1,5,16,1017.8,8,3.2,1.9,80.2,1017.8,90,4.1,27.8,0,5,-22.6,0,0,0,0,0,0
2006,1,5,17,1017.6,7,2.8,1.1,73.8,1017.6,100,4.6,1.3,0,-2,-22.6,0,0,0,0,0,0
2006,1,5,18,1017.4,8,2.7,0.6,67.7,1017.4,100,5.7,0,0,-10.2,-22.6,0,0,0,0,0,0
2006,1,5,19,1017.3,8,2.5,0.7,71.9,1017.3,90,4.6,0,0,-19.1,-22.6,0,0,0,0,0,0
2006,1,5,20,1017.1,8,2.5,0.5,68.9,1017.1,100,6.2,0,0,-28.4,-22.6,0,0,0,0,0,0
2006,1,5,21,1017,8,2.1,0.3,71.5,1017,90,5.1,0,0,-37.7,-22.6,0,0,0,0,0,0
2006,1,5,22,1017.1,4,1.3,0.1,80.1,1017.1,80,5.7,0,0,-46.5,-22.6,0,0,0,0,0,0
2006,1,5,23,1017.1,2,0.1,-0.6,87.7,1017.1,60,3.6,0,0,-54.2,-22.6,0,0,0,0,0,0
