.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Edinburgh
Latitude, 55.951, Longitude, -3.447, Altitude,46

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1975,1,1,1,1021.1,8,8.1,7.7,94.9,1021.1,290,2.6,0,0,-57,-23,0,0,0,0,0,0
1975,1,1,2,1021.18,8,9.7,8.9,90.4,1021.18,270,2.6,0,0,-54.5,-23,0,0,0,1,0,0
1975,1,1,3,1021.3,8,9.7,8.9,90.4,1021.3,260,7.7,0,0,-49.1,-23,0,0,0,1,0,0
1975,1,1,4,1021.3,8,9.7,8.8,89.2,1021.3,250,8.2,0,0,-41.9,-23,0,0,0,0,0,0
1975,1,1,5,1021.07,8,9.3,8.4,89.1,1021.07,250,8.7,0,0,-33.8,-23,0,0,0,1,0,0
1975,1,1,6,1020.79,7,9.4,8.4,87.9,1020.79,250,7.2,0,0,-25.4,-23,0,0,0,1,0,0
1975,1,1,7,1020.7,7,9.1,8.3,90.2,1020.7,250,7.2,0,0,-17.2,-23,0,0,0,0,0,0
1975,1,1,8,1020.98,7,9.2,8.3,89,1020.98,240,6.7,0,0,-9.4,-23,0,0,0,1,0,0
1975,1,1,9,1021.49,7,9,8.6,95.1,1021.49,250,7.2,0.9,0,-2.4,-23,0,0,0,1,0,0
1975,1,1,10,1022,7,9.3,8.5,90.3,1022,250,6.7,18.1,0,3.4,-23,0,0,0,0,0,0
1975,1,1,11,1022.35,5,8.8,8.2,92.6,1022.35,240,6.2,79.3,249.3,7.8,-23,0,0,0,1,0,0
1975,1,1,12,1022.55,7,9.5,8.7,90.3,1022.55,250,5.7,70.2,63.9,10.4,-23,0,0,0,1,0,0
1975,1,1,13,1022.7,4,10.4,9.2,86,1022.7,250,5.1,133,366.9,11,-23,0,0,0,0,0,0
1975,1,1,14,1022.86,7,9.9,9,89.3,1022.86,250,5.1,63.1,62.6,9.5,-23,0,0,0,1,0,0
1975,1,1,15,1023.08,8,9.5,8.6,89.1,1023.08,280,6.2,36.3,0,6.2,-23,0,0,0,1,0,0
1975,1,1,16,1023.4,8,9.3,8.4,89.1,1023.4,260,5.1,8.1,0,1.1,-23,0,0,0,0,0,0
1975,1,1,17,1023.85,8,9,8.3,91.4,1023.85,270,4.6,0,0,-5.3,-23,0,0,0,1,0,0
1975,1,1,18,1024.34,8,9,8.2,90.2,1024.34,270,5.7,0,0,-12.6,-23,0,0,0,1,0,0
1975,1,1,19,1024.8,8,9,8.1,88.9,1024.8,260,3.6,0,0,-20.6,-23,0,0,0,0,0,0
1975,1,1,20,1025.14,8,8.6,7.9,91.3,1025.14,260,6.2,0,0,-29,-23,0,0,0,1,0,0
1975,1,1,21,1025.37,8,8.6,7.8,90,1025.37,260,5.7,0,0,-37.3,-23,0,0,0,1,0,0
1975,1,1,22,1025.5,8,8.6,7.8,90,1025.5,250,5.1,0,0,-45,-23,0,0,0,0,0,0
1975,1,1,23,1025.55,8,8.1,7.3,89.8,1025.55,250,4.6,0,0,-51.6,-23,0,0,0,1,0,0
1975,1,1,24,1025.52,8,7.9,7.2,91,1025.52,240,6.2,0,0,-55.9,-23,0,0,0,1,0,0
1975,1,2,1,1025.4,8,7.6,6.8,89.6,1025.4,240,6.2,0,0,-57,-22.9,0,0,0,0,0,0
1975,1,2,2,1025.19,8,7.7,6.9,89.7,1025.19,250,7.2,0,0,-54.4,-22.9,0,0,0,1,0,0
1975,1,2,3,1024.94,8,7.6,6.8,89.6,1024.94,250,7.2,0,0,-49,-22.9,0,0,0,1,0,0
1975,1,2,4,1024.7,8,7.9,6.9,87.2,1024.7,250,6.7,0,0,-41.9,-22.9,0,0,0,0,0,0
1975,1,2,5,1024.51,8,7.9,6.9,87.2,1024.51,270,7.7,0,0,-33.8,-22.9,0,0,0,1,0,0
1975,1,2,6,1024.38,8,7.9,7.1,89.8,1024.38,260,7.2,0,0,-25.4,-22.9,0,0,0,1,0,0
1975,1,2,7,1024.3,8,8.1,7,86.1,1024.3,240,8.2,0,0,-17.2,-22.9,0,0,0,0,0,0
1975,1,2,8,1024.26,8,8.3,7.1,85,1024.26,230,7.7,0,0,-9.4,-22.9,0,0,0,1,0,0
1975,1,2,9,1024.2,7,8.1,7,86.1,1024.2,230,5.7,1,0,-2.4,-22.9,0,0,0,1,0,0
1975,1,2,10,1024.1,7,8.1,7,86.1,1024.1,240,6.2,18.3,0,3.5,-22.9,0,0,0,0,0,0
1975,1,2,11,1023.9,7,8,6.8,84.8,1023.9,240,7.7,49.5,59.3,7.9,-22.9,0,0,0,1,0,0
1975,1,2,12,1023.6,7,7.7,6.5,84.6,1023.6,240,7.7,70.7,64,10.5,-22.9,0,0,0,1,0,0
1975,1,2,13,1023.2,7,8,7,87.3,1023.2,240,8.7,75.7,64.7,11.1,-22.9,0,0,0,0,0,0
1975,1,2,14,1022.72,7,8.1,7.2,88.6,1022.72,230,10.3,64,62.8,9.6,-22.9,0,0,0,1,0,0
1975,1,2,15,1022.22,7,8.9,7.7,85.3,1022.22,240,11.3,37.3,0,6.3,-22.9,0,0,0,1,0,0
