.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Glasgow
Latitude, 55.869, Longitude, -4.431, Altitude,32

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1976,1,1,1,1010,3,2.2,1.2,84.1,1010,250,9.3,0,0,-57.2,-23,0,0,0,0,0,0
1976,1,1,2,1010.8,2,2.3,0.9,77.9,1010.8,250,8.2,0,0,-54.8,-23,0,0,0,1,0,0
1976,1,1,3,1011.61,2,1.9,1.2,88.7,1011.61,250,7.7,0,0,-49.5,-23,0,0,0,1,0,0
1976,1,1,4,1012.4,2,1.9,1.2,88.7,1012.4,260,5.7,0,0,-42.4,-23,0,0,0,0,0,0
1976,1,1,5,1013.11,1,1.8,0.6,80.6,1013.11,250,4.1,0,0,-34.4,-23,0,0,0,1,0,0
1976,1,1,6,1013.67,5,2.4,1.1,79.5,1013.67,350,1,0,0,-26,-23,0,0,0,1,0,0
1976,1,1,7,1014,3,1.5,0.4,81.9,1014,220,3.1,0,0,-17.7,-23,0,0,0,0,0,0
1976,1,1,8,1014.04,2,0.7,0,88,1014.04,220,3.6,0,0,-9.9,-23,0,0,0,1,0,0
1976,1,1,9,1013.9,2,0.6,-0.2,86.3,1013.9,70,1,0.6,0,-2.8,-23,0,0,0,1,0,0
1976,1,1,10,1013.7,7,1.6,0.6,83.6,1013.7,210,1.5,16.6,0,3.1,-23,0,0,0,0,0,0
1976,1,1,11,1013.52,8,3.1,2.1,84.7,1013.52,210,1.5,22.7,0,7.6,-23,0,0,0,1,0,0
1976,1,1,12,1013.17,8,2.7,2,89,1013.17,240,3.6,33.3,0,10.3,-23,0,0,0,1,0,0
1976,1,1,13,1012.4,8,2.1,1.8,95.2,1012.4,280,2.6,36.1,0,11.1,-23,0,0,0,0,0,0
1976,1,1,14,1011.07,8,2.2,1.9,95.2,1011.07,90,1,31,0,9.7,-23,0,0,0,1,0,0
1976,1,1,15,1009.39,8,2.2,1.8,93.6,1009.39,190,2.1,39,0,6.5,-23,0,0,0,1,0,0
1976,1,1,16,1007.7,8,1.9,1.6,95.1,1007.7,60,1,9.5,0,1.5,-23,0,0,0,0,0,0
1976,1,1,17,1006.27,8,1.4,1,93.4,1006.27,50,3.1,0,0,-4.8,-23,0,0,0,1,0,0
1976,1,1,18,1005.24,8,0.7,0.6,98.3,1005.24,50,3.1,0,0,-12.1,-23,0,0,0,1,0,0
