.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Leeds
Latitude, 53.836, Longitude, -1.197, Altitude,26.7

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1989,1,1,1,1038.2,7,7.6,5.6,74.4,1038.2,250,1.5,0,0,-59,-23,0,0,0,0,0,0
1989,1,1,2,1037.9,3,6.8,5.2,78.8,1037.9,270,2.6,0,0,-55.7,-23,0,0,0,0,0,0
1989,1,1,3,1037.8,3,6.1,4.8,82.2,1037.8,270,1,0,0,-49.5,-23,0,0,0,0,0,0
1989,1,1,4,1037.7,2,5.7,4.1,77.9,1037.7,260,3.1,0,0,-41.6,-23,0,0,0,0,0,0
1989,1,1,5,1037.4,2,5.1,4.1,85.7,1037.4,280,1.5,0,0,-33,-23,0,0,0,0,0,0
1989,1,1,6,1037.3,0,5.2,4.2,85.8,1037.3,270,2.1,0,0,-24.2,-23,0,0,0,0,0,0
1989,1,1,7,1037.2,0,4.4,3.7,89.7,1037.2,260,2.1,0,0,-15.5,-23,0,0,0,0,0,0
1989,1,1,8,1037.3,0,3.5,3,92.3,1037.3,280,1.5,0,0,-7.4,-23,0,0,0,0,0,0
1989,1,1,9,1037.6,1,3.1,2.8,95.3,1037.6,270,1,4.5,0,-0.2,-23,0,0,0,0,0,0
1989,1,1,10,1037.8,5,3.1,2.6,92.2,1037.8,280,1.5,33.8,0,5.8,-23,0,0,0,0,0,0
1989,1,1,11,1038,2,4.2,3.5,89.6,1038,290,1.5,130.9,483.2,10.2,-23,0,0,0,0,0,0
1989,1,1,12,1038.2,2,6.1,5,84.9,1038.2,290,1,169.4,504.4,12.7,-23,0,0,0,0,0,0
1989,1,1,13,1037.6,2,7.8,6.2,79.6,1037.6,290,1,175.1,506.9,13.1,-23,0,0,0,0,0,0
1989,1,1,14,1037.1,2,8.9,7,76.8,1037.1,280,1,147.3,493.4,11.3,-23,0,0,0,0,0,0
1989,1,1,15,1036.5,2,8.6,6.3,71.8,1036.5,250,3.6,88,443.2,7.5,-23,0,0,0,0,0,0
1989,1,1,16,1036.4,2,8.5,6.2,71.7,1036.4,240,2.1,11.3,0,2,-23,0,0,0,0,0,0
1989,1,1,17,1036.3,2,7.5,5.5,74.4,1036.3,280,2.6,0,0,-4.9,-23,0,0,0,0,0,0
1989,1,1,18,1036.5,6,6.7,5,77.4,1036.5,240,2.1,0,0,-12.7,-23,0,0,0,0,0,0
1989,1,1,19,1036.2,7,6.5,5,79.9,1036.2,290,2.1,0,0,-21.2,-23,0,0,0,0,0,0
1989,1,1,20,1036.4,7,6.8,5,76.2,1036.4,260,2.6,0,0,-30,-23,0,0,0,0,0,0
1989,1,1,21,1036.3,7,6.7,5.1,78.7,1036.3,170,1,0,0,-38.8,-23,0,0,0,0,0,0
1989,1,1,22,1036.4,7,6.6,4.9,77.3,1036.4,170,1.5,0,0,-47,-23,0,0,0,0,0,0
1989,1,1,23,1036.4,7,6.4,4.4,73.3,1036.4,170,1.5,0,0,-53.8,-23,0,0,0,0,0,0
1989,1,1,24,1036.2,7,6.1,4.1,72.9,1036.2,200,1,0,0,-58.2,-23,0,0,0,0,0,0
1989,1,2,1,1036.3,7,5.8,3.7,71.3,1036.3,180,2.1,0,0,-58.9,-22.9,0,0,0,0,0,0
1989,1,2,2,1036.2,7,5.8,3.7,71.3,1036.2,200,1.5,0,0,-55.7,-22.9,0,0,0,0,0,0
1989,1,2,3,1035.9,7,5.7,3.9,75.2,1035.9,200,1.5,0,0,-49.5,-22.9,0,0,0,0,0,0
1989,1,2,4,1035.9,8,5.4,3.3,70.8,1035.9,170,1.5,0,0,-41.6,-22.9,0,0,0,0,0,0
1989,1,2,5,1035.8,8,5.4,3.3,70.8,1035.8,220,2.1,0,0,-33,-22.9,0,0,0,0,0,0
1989,1,2,6,1035.7,8,5.4,3.1,68.2,1035.7,200,2.6,0,0,-24.2,-22.9,0,0,0,0,0,0
1989,1,2,7,1035.7,8,5.4,3.3,70.8,1035.7,210,1,0,0,-15.5,-22.9,0,0,0,0,0,0
1989,1,2,8,1035.6,8,5.4,3.3,70.8,1035.6,170,1,0,0,-7.4,-22.9,0,0,0,0,0,0
1989,1,2,9,1035.6,8,5.4,3.3,70.8,1035.6,140,1,4.5,0,-0.1,-22.9,0,0,0,0,0,0
1989,1,2,10,1035.9,8,5.2,3.2,72,1035.9,120,1,34.1,0,5.9,-22.9,0,0,0,0,0,0
1989,1,2,11,1036.2,8,5.2,3.1,70.6,1036.2,180,1.5,33.2,0,10.3,-22.9,0,0,0,0,0,0
1989,1,2,12,1036.4,8,5.4,3.4,72.2,1036.4,180,2.1,42.9,0,12.8,-22.9,0,0,0,0,0,0
1989,1,2,13,1036,8,6,3.7,68.9,1036,190,3.6,44.4,0,13.2,-22.9,0,0,0,0,0,0
1989,1,2,14,1035.4,8,6.3,3.6,64.1,1035.4,240,2.6,37.5,0,11.4,-22.9,0,0,0,0,0,0
1989,1,2,15,1034.9,8,6.5,4.1,68.2,1034.9,170,2.6,22.6,0,7.6,-22.9,0,0,0,0,0,0
1989,1,2,16,1034.5,8,6.3,3.9,68,1034.5,180,1.5,11.8,0,2.1,-22.9,0,0,0,0,0,0
