.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, London
Latitude, 51.479, Longitude, -0.449, Altitude,25

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2003,1,1,1,1009.7,8,4.7,3.5,82.9,1009.7,160,5.1,0,0,-61.2,-23,0,0,0,0,0,0
2003,1,1,2,1008.6,8,4.7,3.9,88.5,1008.6,140,4.6,0,0,-57.2,-23,0,0,0,0,0,0
2003,1,1,3,1007.4,8,5.4,4.7,90.2,1007.4,140,3.6,0,0,-50.2,-23,0,0,0,0,0,0
2003,1,1,4,1005.8,8,6.3,5.5,89.2,1005.8,140,4.6,0,0,-41.7,-23,0,0,0,0,0,0
2003,1,1,5,1003.7,8,6.3,5.8,93.2,1003.7,140,5.7,0,0,-32.5,-23,0,0,0,0,0,0
2003,1,1,6,1001.5,8,6.7,6.3,94.7,1001.5,140,4.6,0,0,-23.2,-23,0,0,0,0,0,0
2003,1,1,7,999.7,8,7.3,6.9,94.8,999.7,160,4.1,0,0,-14.1,-23,0,0,0,0,0,0
2003,1,1,8,997.9,8,7.8,7.5,96.2,997.9,160,5.1,0,0,-5.7,-23,0,0,0,0,0,0
2003,1,1,9,995.9,8,8.3,8.1,97.5,995.9,160,3.6,10.8,0,1.9,-23,0,0,0,0,0,0
2003,1,1,10,994.9,8,9.9,9.7,97.6,994.9,180,3.6,24.5,0,8.1,-23,0,0,0,0,0,0
