.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Manchester
Latitude, 53.356, Longitude, -2.279, Altitude,78.5

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1995,1,1,1,1006.2,0,0,-1.3,77.3,1006.2,300,5.1,0,0,-59.5,-23,0,0,0,0,0,0
1995,1,1,2,1007,0,-0.3,-1.7,77,1007,310,4.1,0,0,-56.3,-23,0,0,0,0,0,0
1995,1,1,3,1007.7,1,-0.2,-1.8,73.9,1007.7,320,3.6,0,0,-50.1,-23,0,0,0,0,0,0
1995,1,1,4,1008.4,1,-0.6,-2,76.6,1008.4,320,3.6,0,0,-42.2,-23,0,0,0,0,0,0
1995,1,1,5,1008.7,0,-0.1,-1.8,72.4,1008.7,310,5.1,0,0,-33.5,-23,0,0,0,0,0,0
1995,1,1,6,1009,1,0.2,-1.4,72.4,1009,310,5.1,0,0,-24.5,-23,0,0,0,0,0,0
1995,1,1,7,1009,2,-0.3,-1.6,78.6,1009,300,3.1,0,0,-15.8,-23,0,0,0,0,0,0
1995,1,1,8,1009.4,1,-1.9,-2.7,85.7,1009.4,230,1,0,0,-7.6,-23,0,0,0,0,0,0
1995,1,1,9,1009.2,2,-0.3,-1.6,78.6,1009.2,250,1,4.4,0,-0.2,-23,0,0,0,0,0,0
1995,1,1,10,1009.1,4,1.5,0,75.6,1009.1,270,7.2,34.5,0,5.9,-23,0,0,0,0,0,0
1995,1,1,11,1009.3,2,1.9,0.7,80.7,1009.3,270,5.1,134.3,485.5,10.5,-23,0,0,0,0,0,0
1995,1,1,12,1009.4,7,2.4,1.1,79.6,1009.4,260,3.1,92.1,66.8,13.1,-23,0,0,0,0,0,0
1995,1,1,13,1009.2,6,2,1,84,1009.2,280,4.6,131.4,171.9,13.5,-23,0,0,0,0,0,0
1995,1,1,14,1009.8,2,2.4,0.7,73.5,1009.8,310,5.7,155.2,497.6,11.8,-23,0,0,0,0,0,0
1995,1,1,15,1010.6,2,2,-0.2,65.3,1010.6,350,8.2,96.6,453.4,8,-23,0,0,0,0,0,0
1995,1,1,16,1011.8,3,1.9,-0.4,63.6,1011.8,340,5.7,13.7,0,2.5,-23,0,0,0,0,0,0
1995,1,1,17,1013,1,0.9,-1.3,63.5,1013,320,5.1,0,0,-4.3,-23,0,0,0,0,0,0
1995,1,1,18,1014.1,1,0,-2.3,60.2,1014.1,330,4.1,0,0,-12.2,-23,0,0,0,0,0,0
1995,1,1,19,1015,1,-0.3,-2.4,65.6,1015,330,3.6,0,0,-20.8,-23,0,0,0,0,0,0
1995,1,1,20,1015.4,1,-0.5,-2.3,70.1,1015.4,290,2.6,0,0,-29.7,-23,0,0,0,0,0,0
1995,1,1,21,1016.3,1,-0.2,-2.5,62.6,1016.3,310,5.1,0,0,-38.6,-23,0,0,0,0,0,0
1995,1,1,22,1017.2,1,-0.7,-2.7,66.6,1017.2,310,3.6,0,0,-46.9,-23,0,0,0,0,0,0
1995,1,1,23,1018.1,1,-0.7,-2.7,66.6,1018.1,310,5.7,0,0,-53.9,-23,0,0,0,0,0,0
1995,1,1,24,1018.8,1,-0.4,-2.5,65.4,1018.8,320,6.7,0,0,-58.6,-23,0,0,0,0,0,0
