.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Newcastle
Latitude, 54.977, Longitude, -1.597, Altitude,83

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2006,1,1,1,990.4,7,2.2,1.9,95.2,990.4,290,1,0,0,-57.8,-23,0,0,0,0,0,0
2006,1,1,2,991.1,7,2.7,2.6,98.4,991.1,280,2.1,0,0,-54.8,-23,0,0,0,0,0,0
2006,1,1,3,992.1,8,2.8,2.6,96.9,992.1,300,2.1,0,0,-48.9,-23,0,0,0,0,0,0
2006,1,1,4,993.1,7,2.8,2.6,96.9,993.1,290,2.6,0,0,-41.4,-23,0,0,0,0,0,0
2006,1,1,5,994,6,3,2.7,95.4,994,300,3.6,0,0,-33,-23,0,0,0,0,0,0
2006,1,1,6,995.2,7,3.6,3.2,94,995.2,300,3.6,0,0,-24.5,-23,0,0,0,0,0,0
2006,1,1,7,996.6,8,3.6,3.1,92.5,996.6,310,4.1,0,0,-16.1,-23,0,0,0,0,0,0
2006,1,1,8,997.9,8,3.7,3.1,91.1,997.9,300,3.6,0,0,-8.2,-23,0,0,0,0,0,0
2006,1,1,9,999.3,7,3.6,2.9,89.5,999.3,310,3.6,2.6,0,-1.1,-23,0,0,0,0,0,0
2006,1,1,10,1000.8,7,4,3.2,88.2,1000.8,310,5.1,25.9,0,4.7,-23,0,0,0,0,0,0
2006,1,1,11,1002.5,8,4.3,3.5,88.4,1002.5,310,3.6,28.2,0,9,-23,0,0,0,0,0,0
2006,1,1,12,1003.9,8,4.9,4.1,88.6,1003.9,310,3.1,37.8,0,11.5,-23,0,0,0,0,0,0
2006,1,1,13,1004.8,8,5,4.2,88.7,1004.8,300,3.1,39.4,0,11.9,-23,0,0,0,0,0,0
2006,1,1,14,1005.8,8,5.4,4.5,87.5,1005.8,300,3.1,32.7,0,10.2,-23,0,0,0,0,0,0
2006,1,1,15,1006.8,8,5.4,4.4,86.1,1006.8,300,4.6,39.6,0,6.5,-23,0,0,0,0,0,0
2006,1,1,16,1008.2,7,5.5,4.5,86.1,1008.2,310,3.6,8.5,0,1.2,-23,0,0,0,0,0,0
2006,1,1,17,1009.9,8,4.8,4.1,90,1009.9,320,3.6,0,0,-5.4,-23,0,0,0,0,0,0
2006,1,1,18,1011.2,6,3.8,3.3,92.5,1011.2,290,2.1,0,0,-13,-23,0,0,0,0,0,0
2006,1,1,19,1012.2,7,3.3,2.7,90.8,1012.2,280,2.1,0,0,-21.3,-23,0,0,0,0,0,0
2006,1,1,20,1013.3,0,2.7,2,89,1013.3,310,2.6,0,0,-29.8,-23,0,0,0,0,0,0
2006,1,1,21,1014.6,7,3.1,2.4,89.2,1014.6,310,2.1,0,0,-38.3,-23,0,0,0,0,0,0
2006,1,1,22,1015.4,5,2.9,2.2,89.1,1015.4,300,2.1,0,0,-46.2,-23,0,0,0,0,0,0
2006,1,1,23,1016.7,6,1.7,1.4,95.1,1016.7,230,0.5,0,0,-52.8,-23,0,0,0,0,0,0
2006,1,1,24,1017.4,7,1.9,1.6,95.1,1017.4,250,1,0,0,-57,-23,0,0,0,0,0,0
2006,1,2,1,1018,7,2.5,2,92.1,1018,300,1.5,0,0,-57.7,-22.9,0,0,0,0,0,0
2006,1,2,2,1018.2,8,2.8,2.2,90.6,1018.2,290,2.1,0,0,-54.7,-22.9,0,0,0,0,0,0
2006,1,2,3,1019,8,2.4,2,93.6,1019,290,1.5,0,0,-48.9,-22.9,0,0,0,0,0,0
2006,1,2,4,1019.6,8,2.2,1.9,95.2,1019.6,240,2.6,0,0,-41.4,-22.9,0,0,0,0,0,0
2006,1,2,5,1020.1,5,2.2,1.9,95.2,1020.1,260,1.5,0,0,-33,-22.9,0,0,0,0,0,0
2006,1,2,6,1020.8,1,1.1,1,98.3,1020.8,270,0.5,0,0,-24.5,-22.9,0,0,0,0,0,0
2006,1,2,7,1021.1,7,1.3,1.1,96.6,1021.1,240,1.5,0,0,-16.1,-22.9,0,0,0,0,0,0
2006,1,2,8,1021.3,8,2.1,1.8,95.1,1021.3,290,1.5,0,0,-8.1,-22.9,0,0,0,0,0,0
2006,1,2,9,1021.6,8,3,2.6,93.8,1021.6,260,1.5,2.6,0,-1.1,-22.9,0,0,0,0,0,0
2006,1,2,10,1022.3,8,2.6,2.4,96.8,1022.3,270,2.1,26.2,0,4.8,-22.9,0,0,0,0,0,0
2006,1,2,11,1022.69,8,3.5,3.1,93.9,1022.69,270,1.5,28.5,0,9.1,-22.9,0,0,0,1,0,0
2006,1,2,12,1022.7,8,4.1,3.7,94,1022.7,270,1,38.1,0,11.6,-22.9,0,0,0,0,0,0
2006,1,2,13,1022.6,8,4.6,4,91.3,1022.6,220,1,39.7,0,12,-22.9,0,0,0,0,0,0
2006,1,2,14,1022.7,7,5.5,4.6,87.4,1022.7,290,2.1,69.4,63.8,10.3,-22.9,0,0,0,0,0,0
2006,1,2,15,1022.7,3,5.5,4.5,86,1022.7,250,3.1,40.6,0,6.7,-22.9,0,0,0,0,0,0
2006,1,2,16,1022.7,4,4.6,3.9,89.8,1022.7,210,3.1,8.9,0,1.4,-22.9,0,0,0,0,0,0
2006,1,2,17,1022.8,1,4.7,3.9,88.4,1022.8,180,2.6,0,0,-5.3,-22.9,0,0,0,0,0,0
2006,1,2,18,1022.8,6,3.8,3.3,92.5,1022.8,190,1.5,0,0,-12.9,-22.9,0,0,0,0,0,0
2006,1,2,19,1023,5,3.6,3,90.9,1023,190,1.5,0,0,-21.2,-22.9,0,0,0,0,0,0
2006,1,2,20,1022.7,7,4.5,3.5,85.5,1022.7,170,2.6,0,0,-29.7,-22.9,0,0,0,0,0,0
2006,1,2,21,1022.7,8,5.1,4.2,87.2,1022.7,200,4.1,0,0,-38.2,-22.9,0,0,0,0,0,0
2006,1,2,22,1022.4,8,5.6,4.8,88.8,1022.4,200,5.1,0,0,-46.1,-22.9,0,0,0,0,0,0
2006,1,2,23,1022,8,5.7,4.9,88.9,1022,200,3.6,0,0,-52.7,-22.9,0,0,0,0,0,0
2006,1,2,24,1021.9,8,6.2,5.3,87.8,1021.9,220,3.6,0,0,-56.9,-22.9,0,0,0,0,0,0
2006,1,3,1,1021.7,7,5.2,4.6,91.5,1021.7,200,4.1,0,0,-57.7,-22.8,0,0,0,0,0,0
2006,1,3,2,1020.9,8,5.3,4.7,91.5,1020.9,220,3.1,0,0,-54.7,-22.8,0,0,0,0,0,0
2006,1,3,3,1020.2,8,6.7,5.7,86.7,1020.2,180,2.6,0,0,-48.9,-22.8,0,0,0,0,0,0
2006,1,3,4,1019.9,8,7.3,6.4,88.3,1019.9,230,5.1,0,0,-41.4,-22.8,0,0,0,0,0,0
2006,1,3,5,1019.5,5,7.9,6.8,86,1019.5,230,7.2,0,0,-33,-22.8,0,0,0,0,0,0
2006,1,3,6,1019.8,6,8.2,7.1,86.2,1019.8,250,7.2,0,0,-24.5,-22.8,0,0,0,0,0,0
2006,1,3,7,1020.3,3,8.4,7.7,91.2,1020.3,260,7.2,0,0,-16,-22.8,0,0,0,0,0,0
2006,1,3,8,1021.4,8,8,7.7,96.2,1021.4,260,6.7,0,0,-8.1,-22.8,0,0,0,0,0,0
2006,1,3,9,1022.3,7,8.1,7.8,96.2,1022.3,260,4.6,2.7,0,-1.1,-22.8,0,0,0,0,0,0
2006,1,3,10,1023.2,8,8,7.6,94.9,1023.2,290,2.6,26.5,0,4.8,-22.8,0,0,0,0,0,0
