.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Norwich
Latitude, 52.651, Longitude, 0.568, Altitude,21

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1976,1,1,1,1013.6,6,4.6,4.2,94.2,1013.6,270,6.2,0,0,-59.9,-23,0,0,0,0,0,0
1976,1,1,2,1014.87,5,4.3,3.9,94.1,1014.87,270,6.7,0,0,-55.9,-23,0,0,0,1,0,0
1976,1,1,3,1016,3,3.5,3.1,93.9,1016,280,5.7,0,0,-49.1,-23,0,0,0,1,0,0
1976,1,1,4,1016.9,3,3.1,2.7,93.8,1016.9,260,5.7,0,0,-40.8,-23,0,0,0,0,0,0
1976,1,1,5,1017.54,3,2.8,2.6,96.9,1017.54,260,5.1,0,0,-31.8,-23,0,0,0,1,0,0
1976,1,1,6,1018.05,5,2.8,2.5,95.3,1018.05,250,4.6,0,0,-22.7,-23,0,0,0,1,0,0
1976,1,1,7,1018.6,7,2.8,2.4,93.7,1018.6,250,5.7,0,0,-13.9,-23,0,0,0,0,0,0
1976,1,1,8,1019.29,8,3,2.4,90.7,1019.29,260,5.7,0,0,-5.7,-23,0,0,0,1,0,0
1976,1,1,9,1019.96,8,2.9,2.3,90.6,1019.96,240,4.1,9.5,0,1.5,-23,0,0,0,1,0,0
1976,1,1,10,1020.4,8,3.1,2.4,89.2,1020.4,250,2.6,22.1,0,7.5,-23,0,0,0,0,0,0
1976,1,1,11,1020.45,8,2.8,2.5,95.3,1020.45,220,2.6,38.8,0,11.7,-23,0,0,0,1,0,0
1976,1,1,12,1020.17,8,3.5,2.9,90.9,1020.17,220,3.1,47.5,0,14,-23,0,0,0,1,0,0
1976,1,1,13,1019.7,8,4.2,3.5,89.7,1019.7,200,2.6,47.7,0,14,-23,0,0,0,0,0,0
1976,1,1,14,1019.09,8,4.5,3.8,89.8,1019.09,210,3.6,39.3,0,11.9,-23,0,0,0,1,0,0
1976,1,1,15,1018.15,8,4.2,3.8,94.1,1018.15,180,3.1,22.8,0,7.7,-23,0,0,0,1,0,0
1976,1,1,16,1016.6,8,4,3.5,92.6,1016.6,190,4.1,10.4,0,1.8,-23,0,0,0,0,0,0
1976,1,1,17,1014.28,8,3.3,2.7,90.8,1014.28,180,4.1,0,0,-5.5,-23,0,0,0,1,0,0
1976,1,1,18,1011.46,8,2.9,2.8,98.4,1011.46,150,5.7,0,0,-13.6,-23,0,0,0,1,0,0
1976,1,1,19,1008.5,8,3.6,3.5,98.5,1008.5,140,7.7,0,0,-22.4,-23,0,0,0,0,0,0
1976,1,1,20,1005.75,8,5.6,5.6,100,1005.75,190,7.7,0,0,-31.5,-23,0,0,0,1,0,0
1976,1,1,21,1003.5,8,7.4,7.3,98.7,1003.5,200,10.8,0,0,-40.4,-23,0,0,0,1,0,0
1976,1,1,22,1002,8,9.6,9.3,96.4,1002,220,10.3,0,0,-48.8,-23,0,0,0,0,0,0
1976,1,1,23,1001.47,8,10.9,10,89.7,1001.47,230,11.3,0,0,-55.6,-23,0,0,0,1,0,0
1976,1,1,24,1001.95,8,11.4,10.2,86.6,1001.95,230,10.8,0,0,-59.8,-23,0,0,0,1,0,0
1976,1,2,1,1003.4,8,11.5,10.3,86.7,1003.4,230,10.8,0,0,-59.9,-23,0,0,0,0,0,0
1976,1,2,2,1005.72,8,7.1,6.6,93.4,1005.72,310,7.2,0,0,-55.9,-23,0,0,0,1,0,0
1976,1,2,3,1008.41,8,5.7,5.5,97.2,1008.41,320,6.2,0,0,-49.1,-23,0,0,0,1,0,0
1976,1,2,4,1010.9,8,5.4,5,94.4,1010.9,330,5.1,0,0,-40.8,-23,0,0,0,0,0,0
1976,1,2,5,1012.73,8,5,4.5,92.9,1012.73,350,3.6,0,0,-31.8,-23,0,0,0,1,0,0
1976,1,2,6,1014.02,7,4.7,4.3,94.2,1014.02,330,2.6,0,0,-22.7,-23,0,0,0,1,0,0
1976,1,2,7,1015,4,3.6,3.4,97,1015,50,2.6,0,0,-13.9,-23,0,0,0,0,0,0
1976,1,2,8,1015.84,7,2.6,2.2,93.7,1015.84,110,1,0,0,-5.7,-23,0,0,0,1,0,0
