.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Plymouth
Latitude, 50.354, Longitude, -4.121, Altitude,50

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1984,1,1,1,1024,8,9.9,8,77.8,1024,260,9.8,0,0,-62.7,-23,0,0,0,0,0,0
1984,1,1,2,1023,8,10,8.2,79,1023,250,10.8,0,0,-59.5,-23,0,0,0,0,0,0
1984,1,1,3,1022.2,8,9.9,8.6,84.6,1022.2,250,9.8,0,0,-52.8,-23,0,0,0,0,0,0
1984,1,1,4,1021.5,8,10.1,8.7,83.6,1021.5,250,9.8,0,0,-44.2,-23,0,0,0,0,0,0
1984,1,1,5,1021.1,8,10.4,9,83.8,1021.1,250,8.7,0,0,-34.9,-23,0,0,0,0,0,0
1984,1,1,6,1020,8,10.7,9.1,81.7,1020,250,8.7,0,0,-25.3,-23,0,0,0,0,0,0
1984,1,1,7,1019.6,8,10.8,9.6,86.2,1019.6,260,8.2,0,0,-16,-23,0,0,0,0,0,0
1984,1,1,8,1019.9,8,10.6,9.4,86.2,1019.9,250,10.8,0,0,-7.1,-23,0,0,0,0,0,0
1984,1,1,9,1019.8,8,10.6,9.7,89.6,1019.8,250,7.7,7.2,0,0.8,-23,0,0,0,0,0,0
1984,1,1,10,1019.4,8,10.9,9.9,88.5,1019.4,240,9.8,22.5,0,7.6,-23,0,0,0,0,0,0
1984,1,1,11,1019.2,8,10.5,9.8,91.8,1019.2,250,11.8,42.4,0,12.7,-23,0,0,0,0,0,0
1984,1,1,12,1019.2,7,10.6,10,93,1019.2,250,9.3,113.9,68.7,15.8,-23,0,0,0,0,0,0
1984,1,1,13,1018.1,7,11,10,88.6,1018.1,240,9.8,120.2,69.1,16.6,-23,0,0,0,0,0,0
1984,1,1,14,1016.9,7,11.1,10,87.5,1016.9,240,9.3,107.5,68.2,15,-23,0,0,0,0,0,0
1984,1,1,15,1016.3,8,11.1,10.2,89.8,1016.3,240,9.3,36.5,0,11.2,-23,0,0,0,0,0,0
1984,1,1,16,1015.9,8,11.2,10.1,87.6,1015.9,240,10.3,31,0,5.5,-23,0,0,0,0,0,0
1984,1,1,17,1015.6,8,11,10.3,92,1015.6,240,10.3,1.7,0,-1.7,-23,0,0,0,0,0,0
1984,1,1,18,1015.3,8,11.1,10.3,90.9,1015.3,240,11.3,0,0,-10.1,-23,0,0,0,0,0,0
1984,1,1,19,1014.8,8,10.6,10.2,95.3,1014.8,240,11.3,0,0,-19.1,-23,0,0,0,0,0,0
1984,1,1,20,1014.6,8,10.7,10.5,97.7,1014.6,240,11.3,0,0,-28.6,-23,0,0,0,0,0,0
1984,1,1,21,1014.7,8,10.9,10.7,97.7,1014.7,240,10.3,0,0,-38.1,-23,0,0,0,0,0,0
1984,1,1,22,1015.8,8,10.7,10.5,97.7,1015.8,290,6.2,0,0,-47.2,-23,0,0,0,0,0,0
1984,1,1,23,1016.5,8,10.4,10.2,97.6,1016.5,280,4.6,0,0,-55.3,-23,0,0,0,0,0,0
1984,1,1,24,1016.8,8,9.2,8.5,91.5,1016.8,270,5.1,0,0,-61,-23,0,0,0,0,0,0
1984,1,2,1,1017.5,8,9.4,8.6,90.3,1017.5,270,5.7,0,0,-62.6,-23,0,0,0,0,0,0
1984,1,2,2,1018,7,9.1,7.1,76,1018,290,6.2,0,0,-59.4,-23,0,0,0,0,0,0
1984,1,2,3,1018.2,6,8.4,6.9,81.4,1018.2,280,4.6,0,0,-52.8,-23,0,0,0,0,0,0
1984,1,2,4,1018.5,1,7.6,6.2,82.1,1018.5,270,4.1,0,0,-44.3,-23,0,0,0,0,0,0
1984,1,2,5,1018.1,0,7.4,5.9,80.7,1018.1,270,4.1,0,0,-34.9,-23,0,0,0,0,0,0
1984,1,2,6,1017.7,1,6.2,5.3,87.8,1017.7,280,2.1,0,0,-25.4,-23,0,0,0,0,0,0
1984,1,2,7,1017,6,4.6,4.2,94.2,1017,90,1.5,0,0,-16,-23,0,0,0,0,0,0
1984,1,2,8,1016.5,8,8.8,7.7,86.5,1016.5,240,6.2,0,0,-7.1,-23,0,0,0,0,0,0
1984,1,2,9,1015.7,7,10,8.1,77.9,1015.7,210,7.7,7.2,0,0.8,-23,0,0,0,0,0,0
1984,1,2,10,1015.2,8,10.2,9.3,89.4,1015.2,210,7.7,22.6,0,7.6,-23,0,0,0,0,0,0
1984,1,2,11,1013.5,8,10.5,9.5,88.4,1013.5,210,9.8,42.6,0,12.7,-23,0,0,0,0,0,0
