.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Southampton
Latitude, 50.779, Longitude, -1.835, Altitude,10

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1989,1,1,1,1039.9,8,6.9,6.1,89.3,1039.9,50,2.6,0,0,-62,-23,0,0,0,0,0,0
1989,1,1,2,1039.6,8,6.6,5.6,86.5,1039.6,40,2.1,0,0,-58.3,-23,0,0,0,0,0,0
1989,1,1,3,1039.5,8,6.3,5.5,89,1039.5,310,1,0,0,-51.3,-23,0,0,0,0,0,0
1989,1,1,4,1039.3,8,6.2,5.5,90.4,1039.3,340,1,0,0,-42.7,-23,0,0,0,0,0,0
1989,1,1,5,1039,8,6,5.2,88.9,1039,350,1,0,0,-33.4,-23,0,0,0,0,0,0
1989,1,1,6,1039.1,8,5.8,5.2,91.6,1039.1,300,1,0,0,-24,-23,0,0,0,0,0,0
1989,1,1,7,1038.9,8,5.9,5.1,88.9,1038.9,350,1,0,0,-14.7,-23,0,0,0,0,0,0
1989,1,1,8,1038.9,8,5.7,4.9,88.8,1038.9,20,1,0,0,-6.1,-23,0,0,0,0,0,0
1989,1,1,9,1039,8,5.5,4.6,87.3,1039,30,1,10.1,0,1.7,-23,0,0,0,0,0,0
1989,1,1,10,1039.4,8,5.7,4.6,84.7,1039.4,30,1.5,24.8,0,8.2,-23,0,0,0,0,0,0
1989,1,1,11,1039.6,7,6.4,4.9,79.8,1039.6,20,1.5,91,66.7,12.9,-23,0,0,0,0,0,0
1989,1,1,12,1039.4,7,7.1,5.2,75.2,1039.4,40,1,113.1,68.6,15.7,-23,0,0,0,0,0,0
1989,1,1,13,1039,8,7.6,5.9,78.2,1039,0,1,55.7,0,16.1,-23,0,0,0,0,0,0
1989,1,1,14,1038.2,8,7.5,5.3,71.9,1038.2,0,1.5,48.3,0,14.2,-23,0,0,0,0,0,0
1989,1,1,15,1037.7,8,7.3,5.2,72.9,1037.7,10,2.1,32.6,0,10.1,-23,0,0,0,0,0,0
1989,1,1,16,1037.3,8,7,5,73.9,1037.3,10,1,22.7,0,4.2,-23,0,0,0,0,0,0
1989,1,1,17,1037.2,8,6.7,5,77.4,1037.2,20,1.5,0.4,0,-3.1,-23,0,0,0,0,0,0
1989,1,1,18,1037.2,8,6.6,5.2,81.2,1037.2,40,1.5,0,0,-11.4,-23,0,0,0,0,0,0
1989,1,1,19,1037.1,8,6.3,5.1,83.7,1037.1,50,1,0,0,-20.5,-23,0,0,0,0,0,0
1989,1,1,20,1037.1,8,6.8,5.3,80.1,1037.1,70,1.5,0,0,-29.9,-23,0,0,0,0,0,0
1989,1,1,21,1037,8,7.2,5.4,76.6,1037,90,1.5,0,0,-39.3,-23,0,0,0,0,0,0
1989,1,1,22,1036.8,8,6.8,5.2,78.8,1036.8,60,1,0,0,-48.3,-23,0,0,0,0,0,0
1989,1,1,23,1037.1,8,6.5,4.9,78.6,1037.1,40,1,0,0,-55.9,-23,0,0,0,0,0,0
1989,1,1,24,1036.8,8,6.4,5,81.1,1036.8,60,1.5,0,0,-61,-23,0,0,0,0,0,0
1989,1,2,1,1037,8,6.1,4.8,82.2,1037,60,1.5,0,0,-61.9,-22.9,0,0,0,0,0,0
1989,1,2,2,1036.6,8,6.1,4.8,82.2,1036.6,60,1.5,0,0,-58.2,-22.9,0,0,0,0,0,0
1989,1,2,3,1036.4,8,6.1,4.8,82.2,1036.4,50,1.5,0,0,-51.3,-22.9,0,0,0,0,0,0
1989,1,2,4,1035.8,8,6.2,5.1,85,1035.8,60,1.5,0,0,-42.7,-22.9,0,0,0,0,0,0
1989,1,2,5,1035.4,8,6.5,5.4,85.2,1035.4,50,2.1,0,0,-33.4,-22.9,0,0,0,0,0,0
1989,1,2,6,1035.3,8,7.5,5.8,78.1,1035.3,70,2.6,0,0,-24,-22.9,0,0,0,0,0,0
1989,1,2,7,1035.5,8,7,5.7,82.8,1035.5,70,2.1,0,0,-14.7,-22.9,0,0,0,0,0,0
1989,1,2,8,1035.3,8,6.8,5.7,85.3,1035.3,70,2.1,0,0,-6.1,-22.9,0,0,0,0,0,0
1989,1,2,9,1035.3,8,7.6,6,79.4,1035.3,90,2.1,10.2,0,1.7,-22.9,0,0,0,0,0,0
1989,1,2,10,1035.5,8,8.3,6,71.5,1035.5,130,2.6,24.9,0,8.2,-22.9,0,0,0,0,0,0
1989,1,2,11,1035.4,8,6.9,5.9,86.7,1035.4,60,1,43.7,0,13,-22.9,0,0,0,0,0,0
1989,1,2,12,1035.6,8,8.2,6.6,79.9,1035.6,130,5.1,54.3,0,15.8,-22.9,0,0,0,0,0,0
1989,1,2,13,1035.1,6,8,5.9,73.6,1035.1,130,5.7,161,176.5,16.2,-22.9,0,0,0,0,0,0
1989,1,2,14,1034.6,8,8.1,5.7,70.1,1034.6,130,4.6,48.8,0,14.3,-22.9,0,0,0,0,0,0
1989,1,2,15,1034.2,8,8.1,6.1,75,1034.2,130,3.6,33,0,10.3,-22.9,0,0,0,0,0,0
1989,1,2,16,1033.7,8,8,6.5,81,1033.7,110,1.5,23.5,0,4.4,-22.9,0,0,0,0,0,0
1989,1,2,17,1033.4,8,7.7,6.2,80.8,1033.4,90,1.5,0.5,0,-3,-22.9,0,0,0,0,0,0
1989,1,2,18,1033.1,8,7.8,5.7,73.5,1033.1,100,1.5,0,0,-11.3,-22.9,0,0,0,0,0,0
1989,1,2,19,1033,8,7.7,5.7,74.6,1033,80,1.5,0,0,-20.4,-22.9,0,0,0,0,0,0
1989,1,2,20,1032.7,8,7.9,6,76,1032.7,90,2.6,0,0,-29.8,-22.9,0,0,0,0,0,0
1989,1,2,21,1032.5,8,7.7,5.7,74.6,1032.5,100,2.1,0,0,-39.2,-22.9,0,0,0,0,0,0
1989,1,2,22,1032.2,8,8,6.1,76.1,1032.2,110,3.1,0,0,-48.1,-22.9,0,0,0,0,0,0
1989,1,2,23,1032,8,7.7,5.7,74.6,1032,110,4.6,0,0,-55.8,-22.9,0,0,0,0,0,0
1989,1,2,24,1031.6,8,7.3,5.4,75.5,1031.6,120,3.1,0,0,-60.9,-22.9,0,0,0,0,0,0
1989,1,3,1,1031.4,8,7.3,5.2,73,1031.4,160,4.1,0,0,-61.8,-22.8,0,0,0,0,0,0
1989,1,3,2,1030.9,8,6.4,4.6,75.9,1030.9,160,4.1,0,0,-58.2,-22.8,0,0,0,0,0,0
1989,1,3,3,1030.9,8,6.1,4.6,79.6,1030.9,160,2.6,0,0,-51.3,-22.8,0,0,0,0,0,0
1989,1,3,4,1030.4,8,6,4.5,79.5,1030.4,180,3.6,0,0,-42.7,-22.8,0,0,0,0,0,0
1989,1,3,5,1030.2,8,5.9,4.1,75.5,1030.2,160,2.1,0,0,-33.4,-22.8,0,0,0,0,0,0
1989,1,3,6,1029.9,8,5.6,4.2,80.6,1029.9,170,2.1,0,0,-24,-22.8,0,0,0,0,0,0
1989,1,3,7,1029.7,8,5.9,4.1,75.5,1029.7,180,4.1,0,0,-14.7,-22.8,0,0,0,0,0,0
1989,1,3,8,1029.7,8,5.9,4.4,79.5,1029.7,160,5.1,0,0,-6.1,-22.8,0,0,0,0,0,0
1989,1,3,9,1029.7,8,5.4,4,80.4,1029.7,170,5.7,10.2,0,1.7,-22.8,0,0,0,0,0,0
1989,1,3,10,1030,7,5.6,4.4,83.3,1030,140,3.1,52.5,60.2,8.2,-22.8,0,0,0,0,0,0
1989,1,3,11,1030,7,6,4.7,82.2,1030,130,3.1,92,66.8,13.1,-22.8,0,0,0,0,0,0
1989,1,3,12,1030,7,7,5.3,77.8,1030,190,4.1,114.4,68.7,15.8,-22.8,0,0,0,0,0,0
1989,1,3,13,1029.6,7,7,5.3,77.8,1029.6,180,6.2,118.2,69,16.3,-22.8,0,0,0,0,0,0
1989,1,3,14,1028.8,8,6.7,5.4,82.7,1028.8,180,6.2,49.2,0,14.4,-22.8,0,0,0,0,0,0
1989,1,3,15,1028.1,8,6.7,5.5,84,1028.1,170,6.2,33.5,0,10.4,-22.8,0,0,0,0,0,0
1989,1,3,16,1028,8,6.9,5.7,84.1,1028,170,6.7,24.4,0,4.5,-22.8,0,0,0,0,0,0
1989,1,3,17,1027.8,8,7.1,6,85.5,1027.8,170,7.2,0.6,0,-2.8,-22.8,0,0,0,0,0,0
