.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Swindon_Brize_Norton
Latitude, 51.758, Longitude, -1.576, Altitude,81

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2003,1,1,1,1008.6,8,4.1,3.8,95.6,1008.6,130,5.1,0,0,-61,-23,0,0,0,0,0,0
2003,1,1,2,1006.9,8,4.4,4.2,97.1,1006.9,140,5.1,0,0,-57.4,-23,0,0,0,0,0,0
2003,1,1,3,1005.3,8,4.8,4.6,97.1,1005.3,120,5.1,0,0,-50.7,-23,0,0,0,0,0,0
2003,1,1,4,1003.7,8,5.6,5.4,97.2,1003.7,120,4.6,0,0,-42.3,-23,0,0,0,0,0,0
2003,1,1,5,1001.4,8,6,6,100,1001.4,110,4.1,0,0,-33.2,-23,0,0,0,0,0,0
2003,1,1,6,999.3,8,6.7,6.5,97.3,999.3,140,5.7,0,0,-23.9,-23,0,0,0,0,0,0
2003,1,1,7,997.6,8,7.3,7.2,98.7,997.6,140,4.6,0,0,-14.9,-23,0,0,0,0,0,0
2003,1,1,8,995.9,8,7.7,7.6,98.7,995.9,130,4.1,0,0,-6.4,-23,0,0,0,0,0,0
2003,1,1,9,994.6,8,8.5,8.4,98.8,994.6,150,2.6,8.2,0,1.2,-23,0,0,0,0,0,0
2003,1,1,10,993.3,8,9.9,9.8,98.8,993.3,180,2.6,22,0,7.5,-23,0,0,0,0,0,0
2003,1,1,11,992.6,8,11,10.7,96.6,992.6,200,4.1,40.2,0,12.1,-23,0,0,0,0,0,0
2003,1,1,12,992,8,11.3,10.8,94.4,992,210,4.1,50.3,0,14.7,-23,0,0,0,0,0,0
2003,1,1,13,990.5,8,11.2,10.8,95.5,990.5,220,2.6,51.8,0,15.1,-23,0,0,0,0,0,0
2003,1,1,14,989.3,8,10.9,10.8,98.9,989.3,240,2.1,44.4,0,13.2,-23,0,0,0,0,0,0
2003,1,1,15,989.4,8,10.7,10.4,96.5,989.4,250,4.6,28.8,0,9.2,-23,0,0,0,0,0,0
2003,1,1,16,989.7,8,10.6,10.4,97.7,989.7,240,3.1,17.8,0,3.4,-23,0,0,0,0,0,0
2003,1,1,17,989.3,7,10.4,10.1,96.5,989.3,230,3.6,0.1,0,-3.8,-23,0,0,0,0,0,0
2003,1,1,18,989,7,9.9,9.7,97.6,989,220,2.6,0,0,-12,-23,0,0,0,0,0,0
2003,1,1,19,989,7,9.7,9.5,97.6,989,250,1.5,0,0,-20.9,-23,0,0,0,0,0,0
2003,1,1,20,989.3,5,9.5,9.2,96.4,989.3,250,3.1,0,0,-30.1,-23,0,0,0,0,0,0
2003,1,1,21,990.2,7,9.9,9.5,95.3,990.2,250,4.1,0,0,-39.3,-23,0,0,0,0,0,0
2003,1,1,22,990.8,8,10.1,9.7,95.3,990.8,250,4.1,0,0,-48,-23,0,0,0,0,0,0
2003,1,1,23,991.2,8,9.9,9.7,97.6,991.2,250,3.6,0,0,-55.4,-23,0,0,0,0,0,0
2003,1,1,24,991.7,5,9.8,9.5,96.4,991.7,250,4.1,0,0,-60.2,-23,0,0,0,0,0,0
2003,1,2,1,991.7,4,9.6,9.1,94,991.7,250,4.1,0,0,-61,-22.9,0,0,0,0,0,0
2003,1,2,2,992.2,4,9.3,8.6,91.6,992.2,240,4.6,0,0,-57.4,-22.9,0,0,0,0,0,0
2003,1,2,3,991.5,5,8.8,8.3,93.9,991.5,230,3.1,0,0,-50.6,-22.9,0,0,0,0,0,0
2003,1,2,4,990.1,7,8.7,8.1,92.6,990.1,200,2.6,0,0,-42.3,-22.9,0,0,0,0,0,0
2003,1,2,5,989.6,7,8.3,7.7,92.5,989.6,210,2.6,0,0,-33.2,-22.9,0,0,0,0,0,0
2003,1,2,6,986.3,7,7.3,7,96.1,986.3,130,1.5,0,0,-23.9,-22.9,0,0,0,0,0,0
2003,1,2,7,984.6,8,7.4,7.3,98.7,984.6,70,2.6,0,0,-14.9,-22.9,0,0,0,0,0,0
2003,1,2,8,982.8,8,7.6,7.6,100,982.8,40,3.1,0,0,-6.4,-22.9,0,0,0,0,0,0
2003,1,2,9,981,8,7.6,7.5,98.7,981,30,5.1,8.3,0,1.2,-22.9,0,0,0,0,0,0
2003,1,2,10,979.6,8,7.7,7.6,98.7,979.6,50,4.6,22.2,0,7.5,-22.9,0,0,0,0,0,0
2003,1,2,11,979.4,8,7.8,7.4,94.9,979.4,20,5.7,40.4,0,12.2,-22.9,0,0,0,0,0,0
2003,1,2,12,979.8,8,6.9,6.4,93.5,979.8,20,5.7,50.6,0,14.8,-22.9,0,0,0,0,0,0
2003,1,2,13,980.8,8,6.6,6.2,94.7,980.8,0,5.7,52.1,0,15.2,-22.9,0,0,0,0,0,0
2003,1,2,14,982,7,6.9,6.3,92.2,982,330,4.6,93.9,67,13.3,-22.9,0,0,0,0,0,0
2003,1,2,15,983.9,7,7.6,6.9,91.1,983.9,300,5.1,61.2,62.2,9.3,-22.9,0,0,0,0,0,0
2003,1,2,16,985.8,7,8.3,7.2,86.4,985.8,280,5.1,18.5,0,3.5,-22.9,0,0,0,0,0,0
2003,1,2,17,987.2,7,7.7,6.8,88.6,987.2,300,3.6,0.2,0,-3.7,-22.9,0,0,0,0,0,0
2003,1,2,18,988.3,7,7.2,6.2,87.1,988.3,260,2.1,0,0,-11.9,-22.9,0,0,0,0,0,0
2003,1,2,19,989.2,7,7.1,6.2,88.4,989.2,240,4.1,0,0,-20.8,-22.9,0,0,0,0,0,0
2003,1,2,20,989.5,7,7.9,7.2,91.2,989.5,240,3.6,0,0,-30,-22.9,0,0,0,0,0,0
2003,1,2,21,989.9,7,8.5,7.6,88.9,989.9,240,3.6,0,0,-39.2,-22.9,0,0,0,0,0,0
2003,1,2,22,990.2,7,8.5,7.6,88.9,990.2,250,4.6,0,0,-47.9,-22.9,0,0,0,0,0,0
2003,1,2,23,990.7,7,8.5,7.8,91.4,990.7,250,4.1,0,0,-55.3,-22.9,0,0,0,0,0,0
2003,1,2,24,991.5,6,8.1,7.3,90,991.5,240,3.6,0,0,-60.1,-22.9,0,0,0,0,0,0
2003,1,3,1,992.2,6,7.7,7,91.1,992.2,250,4.6,0,0,-60.9,-22.8,0,0,0,0,0,0
2003,1,3,2,992.5,3,7.3,6.4,88.4,992.5,250,3.6,0,0,-57.3,-22.8,0,0,0,0,0,0
2003,1,3,3,993.1,3,6.7,5.6,85.6,993.1,250,3.1,0,0,-50.6,-22.8,0,0,0,0,0,0
2003,1,3,4,993.5,4,5.8,5.1,90.4,993.5,250,2.6,0,0,-42.3,-22.8,0,0,0,0,0,0
2003,1,3,5,993.5,3,4.9,4.5,94.3,993.5,260,2.6,0,0,-33.2,-22.8,0,0,0,0,0,0
2003,1,3,6,993.7,6,5.6,4.8,89,993.7,250,3.6,0,0,-23.9,-22.8,0,0,0,0,0,0
2003,1,3,7,994,5,5.6,4.6,86.3,994,250,3.6,0,0,-14.9,-22.8,0,0,0,0,0,0
2003,1,3,8,994.5,7,5.3,4.5,88.9,994.5,230,2.6,0,0,-6.4,-22.8,0,0,0,0,0,0
2003,1,3,9,995.3,7,5.4,4.6,88.9,995.3,240,2.6,8.4,0,1.2,-22.8,0,0,0,0,0,0
2003,1,3,10,996,7,5.4,4.6,88.9,996,250,3.6,46.7,58.5,7.5,-22.8,0,0,0,0,0,0
