.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Belfast
Latitude, 54.663, Longitude, -6.222, Altitude,63

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2000,1,1,1,1018.5,1,4.4,3.5,86.9,1018.5,230,4.1,0,0,-58.4,-23,0,0,0,0,0,0
2000,1,1,2,1019.4,1,3.2,2.7,92.3,1019.4,170,2.6,0,0,-56.4,-23,0,0,0,0,0,0
2000,1,1,3,1020,1,3.5,2.9,90.9,1020,180,4.1,0,0,-51.1,-23,0,0,0,0,0,0
2000,1,1,4,1020.8,1,3.6,3,90.9,1020.8,200,4.1,0,0,-43.8,-23,0,0,0,0,0,0
2000,1,1,5,1021.5,1,2.5,2.1,93.6,1021.5,210,2.1,0,0,-35.6,-23,0,0,0,0,0,0
2000,1,1,6,1021.3,1,2,1.7,95.1,1021.3,190,3.1,0,0,-26.9,-23,0,0,0,0,0,0
2000,1,1,7,1021.6,1,2.7,2.2,92.1,1021.6,190,4.1,0,0,-18.4,-23,0,0,0,0,0,0
2000,1,1,8,1021,2,2.8,2.3,92.1,1021,180,4.6,0,0,-10.2,-23,0,0,0,0,0,0
2000,1,1,9,1021,6,4,3.3,89.6,1021,190,5.7,1,0,-2.8,-23,0,0,0,0,0,0
2000,1,1,10,1021.4,6,4.1,3.4,89.6,1021.4,200,6.2,18,0,3.5,-23,0,0,0,0,0,0
2000,1,1,11,1022.1,7,5,4.3,90,1022.1,190,3.6,53,60,8.3,-23,0,0,0,0,0,0
2000,1,1,12,1022.2,7,5.4,4.6,88.8,1022.2,200,5.1,78,65,11.3,-23,0,0,0,0,0,0
2000,1,1,13,1021.5,7,6.1,5.2,87.7,1021.5,190,4.1,86,66,12.3,-23,0,0,0,0,0,0
2000,1,1,14,1021,7,7.3,6,83.2,1021,200,4.6,77,65,11.2,-23,0,0,0,0,0,0
2000,1,1,15,1020.2,7,7.7,6.3,82.2,1020.2,200,4.1,51,60,8,-23,0,0,0,0,0,0
2000,1,1,16,1020.4,7,7.1,5.8,83,1020.4,200,4.1,16,0,3.1,-23,0,0,0,0,0,0
2000,1,1,17,1020,7,6.3,5.3,86.5,1020,190,5.1,0,0,-3.2,-23,0,0,0,0,0,0
2000,1,1,18,1019.9,7,6.2,5.3,87.8,1019.9,190,5.1,0,0,-10.7,-23,0,0,0,0,0,0
2000,1,1,19,1019,7,6.3,5.3,86.5,1019,190,5.7,0,0,-18.8,-23,0,0,0,0,0,0
2000,1,1,20,1018.5,7,6.4,5.3,85.2,1018.5,190,7.2,0,0,-27.4,-23,0,0,0,0,0,0
2000,1,1,21,1018.7,7,6.6,5.4,84,1018.7,200,7.7,0,0,-36,-23,0,0,0,0,0,0
