.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Birmingham
Latitude, 52.452, Longitude, -1.741, Altitude,96

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2003,1,1,1,1008,8,3,2.7,95.3,1008,140,5.1,0,0,-60.3,-23,0,0,0,0,0,0
2003,1,1,2,1006.4,8,3.5,3.1,93.9,1006.4,140,5.7,0,0,-56.8,-23,0,0,0,0,0,0
2003,1,1,3,1004.9,8,3.9,3.5,94,1004.9,130,6.2,0,0,-50.3,-23,0,0,0,0,0,0
2003,1,1,4,1003.3,8,4.1,3.9,97,1003.3,140,5.7,0,0,-42.1,-23,0,0,0,0,0,0
2003,1,1,5,1000.7,8,4.8,4.6,97.1,1000.7,130,7.2,0,0,-33.2,-23,0,0,0,0,0,0
2003,1,1,6,998.7,8,5.3,5.1,97.2,998.7,140,6.7,0,0,-24.1,-23,0,0,0,0,0,0
2003,1,1,7,996.8,8,5.9,5.6,95.9,996.8,150,7.2,0,0,-15.2,-23,0,0,0,0,0,0
2003,1,1,8,995,8,6.2,6,97.3,995,150,6.2,0,0,-6.8,-23,0,0,0,0,0,0
2003,1,1,9,993.6,8,6.8,6.6,97.3,993.6,150,5.1,7,0,0.6,-23,0,0,0,0,0,0
2003,1,1,10,992.5,8,7.4,7.2,97.4,992.5,150,4.1,42,0,6.8,-23,0,0,0,0,0,0
2003,1,1,11,991.6,8,8.1,8,98.7,991.6,160,4.1,37,0,11.4,-23,0,0,0,0,0,0
2003,1,1,12,990.6,8,8.8,8.6,97.5,990.6,170,3.6,48,0,14,-23,0,0,0,0,0,0
2003,1,1,13,989.2,8,10.1,9.9,97.6,989.2,190,4.6,49,0,14.4,-23,0,0,0,0,0,0
