.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Cardiff
Latitude, 51.4, Longitude, -3.343, Altitude,57

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1986,1,1,1,999.8,2,2.6,2.3,95.3,999.8,300,1,0,0,-61.5,-23,0,0,0,0,0,0
1986,1,1,2,999.9,2,3.3,2.8,92.4,999.9,300,1,0,0,-58.3,-23,0,0,0,0,0,0
1986,1,1,3,1000,3,3.2,2.7,92.4,1000,270,1,0,0,-51.8,-23,0,0,0,0,0,0
1986,1,1,4,999.8,3,3.5,2.9,91,999.8,240,2.6,0,0,-43.4,-23,0,0,0,0,0,0
1986,1,1,5,999.4,2,3.1,2.8,95.4,999.4,250,2.1,0,0,-34.3,-23,0,0,0,0,0,0
1986,1,1,6,998.7,1,3.2,2.6,90.9,998.7,240,4.1,0,0,-25,-23,0,0,0,0,0,0
1986,1,1,7,998,1,2.7,2.4,95.3,998,240,2.6,0,0,-15.8,-23,0,0,0,0,0,0
1986,1,1,8,997.6,1,3.1,2.6,92.3,997.6,190,4.1,0,0,-7.2,-23,0,0,0,0,0,0
1986,1,1,9,996.9,6,3.5,2.9,91,996.9,170,4.6,6,0,0.6,-23,0,0,0,0,0,0
1986,1,1,10,996,7,4.1,3.4,89.8,996,160,3.6,43,57,7.1,-23,0,0,0,0,0,0
1986,1,1,11,995,7,3.8,3.4,94.1,995,110,3.6,83,66,12,-23,0,0,0,0,0,0
1986,1,1,12,993.2,8,3.7,3.3,94,993.2,100,5.1,51,0,14.9,-23,0,0,0,0,0,0
1986,1,1,13,990.9,8,4.3,3.9,94.2,990.9,110,7.2,53,0,15.5,-23,0,0,0,0,0,0
1986,1,1,14,988.4,8,5.3,4.9,94.4,988.4,110,7.2,47,0,13.9,-23,0,0,0,0,0,0
1986,1,1,15,986.7,8,5.9,5.5,94.6,986.7,120,7.7,32,0,10.1,-23,0,0,0,0,0,0
1986,1,1,16,983.9,8,5.4,5.1,95.8,983.9,120,10.8,24,0,4.4,-23,0,0,0,0,0,0
1986,1,1,17,982.4,8,5.1,4.7,94.4,982.4,120,9.8,1,0,-2.7,-23,0,0,0,0,0,0
1986,1,1,18,980.7,8,5.1,4.9,97.2,980.7,130,7.7,0,0,-10.9,-23,0,0,0,0,0,0
1986,1,1,19,979.1,8,5.5,5.4,98.6,979.1,150,8.7,0,0,-19.7,-23,0,0,0,0,0,0
1986,1,1,20,978.5,8,6.7,6.5,97.4,978.5,260,9.3,0,0,-29,-23,0,0,0,0,0,0
1986,1,1,21,978.9,6,7.6,7,92.4,978.9,250,6.7,0,0,-38.3,-23,0,0,0,0,0,0
1986,1,1,22,978.7,2,6.6,5.8,89.5,978.7,240,6.2,0,0,-47.2,-23,0,0,0,0,0,0
1986,1,1,23,978.4,6,6.5,5.7,89.5,978.4,210,6.2,0,0,-54.9,-23,0,0,0,0,0,0
1986,1,1,24,977.9,6,6.3,5.4,88.1,977.9,170,5.7,0,0,-60.1,-23,0,0,0,0,0,0
1986,1,2,1,977,7,6.2,5,84.1,977,160,6.2,0,0,-61.5,-22.9,0,0,0,0,0,0
1986,1,2,2,975.9,7,6.2,5.3,88,975.9,160,5.1,0,0,-58.3,-22.9,0,0,0,0,0,0
1986,1,2,3,975.1,5,6,5.1,88,975.1,150,5.7,0,0,-51.8,-22.9,0,0,0,0,0,0
1986,1,2,4,973.9,6,5.6,5,91.8,973.9,130,5.1,0,0,-43.5,-22.9,0,0,0,0,0,0
1986,1,2,5,973.5,4,5.3,4.9,94.5,973.5,100,5.1,0,0,-34.3,-22.9,0,0,0,0,0,0
1986,1,2,6,973.2,7,5.7,5.3,94.5,973.2,140,4.1,0,0,-25,-22.9,0,0,0,0,0,0
1986,1,2,7,973.1,7,5.9,5.6,95.9,973.1,150,4.6,0,0,-15.8,-22.9,0,0,0,0,0,0
1986,1,2,8,973.4,7,6.5,5.8,90.8,973.4,140,4.1,0,0,-7.2,-22.9,0,0,0,0,0,0
1986,1,2,9,973.7,6,6.2,5.6,92,973.7,170,4.1,6,0,0.6,-22.9,0,0,0,0,0,0
1986,1,2,10,974.4,7,6.3,5.8,93.3,974.4,180,4.1,43,57,7.1,-22.9,0,0,0,0,0,0
1986,1,2,11,975.1,6,7,6.3,90.9,975.1,210,3.6,115,168,12,-22.9,0,0,0,0,0,0
1986,1,2,12,975.7,7,7.4,6.6,89.8,975.7,200,4.1,107,68,15,-22.9,0,0,0,0,0,0
1986,1,2,13,976.3,7,7.5,6.9,92.4,976.3,200,3.1,113,69,15.6,-22.9,0,0,0,0,0,0
1986,1,2,14,976.8,7,7.5,6.9,92.4,976.8,190,3.1,99,68,14,-22.9,0,0,0,0,0,0
1986,1,2,15,977.3,7,8.8,7.5,84.4,977.3,210,2.6,69,64,10.2,-22.9,0,0,0,0,0,0
1986,1,2,16,978,7,8.2,7.2,87.7,978,160,1.5,25,0,4.6,-22.9,0,0,0,0,0,0
1986,1,2,17,978.7,7,7.6,6.9,91.1,978.7,80,1.5,1,0,-2.5,-22.9,0,0,0,0,0,0
1986,1,2,18,979.6,7,6.6,6.3,96,979.6,60,4.1,0,0,-10.7,-22.9,0,0,0,0,0,0
1986,1,2,19,980.5,7,5.7,5.2,93.2,980.5,50,6.2,0,0,-19.6,-22.9,0,0,0,0,0,0
1986,1,2,20,981.5,7,5.2,4.7,93,981.5,30,5.7,0,0,-28.9,-22.9,0,0,0,0,0,0
1986,1,2,21,982.8,7,5,4.5,93,982.8,20,6.2,0,0,-38.2,-22.9,0,0,0,0,0,0
1986,1,2,22,984.1,7,5.1,4.5,91.6,984.1,20,7.7,0,0,-47,-22.9,0,0,0,0,0,0
1986,1,2,23,985.5,8,4.4,3.8,91.4,985.5,20,8.2,0,0,-54.7,-22.9,0,0,0,0,0,0
1986,1,2,24,986.8,8,4.1,3.3,88.4,986.8,20,9.8,0,0,-60,-22.9,0,0,0,0,0,0
1986,1,3,1,988.2,8,4.2,3.1,84.1,988.2,20,9.3,0,0,-61.4,-22.8,0,0,0,0,0,0
1986,1,3,2,989.4,8,4.1,3,84.1,989.4,20,9.8,0,0,-58.2,-22.8,0,0,0,0,0,0
1986,1,3,3,991.2,8,3.5,2.4,83.6,991.2,10,8.7,0,0,-51.7,-22.8,0,0,0,0,0,0
1986,1,3,4,992.9,8,3.1,1.9,81.9,992.9,10,9.3,0,0,-43.4,-22.8,0,0,0,0,0,0
1986,1,3,5,994.5,8,2.8,1.5,80.1,994.5,10,8.7,0,0,-34.3,-22.8,0,0,0,0,0,0
1986,1,3,6,995.8,7,2.5,0.9,75.3,995.8,10,9.3,0,0,-25,-22.8,0,0,0,0,0,0
1986,1,3,7,997.8,8,2.6,0.8,72.4,997.8,360,7.7,0,0,-15.8,-22.8,0,0,0,0,0,0
1986,1,3,8,999.3,8,2.6,0.6,69.4,999.3,360,7.7,0,0,-7.2,-22.8,0,0,0,0,0,0
1986,1,3,9,1001.6,5,2.6,0.5,67.8,1001.6,350,6.2,6,0,0.6,-22.8,0,0,0,0,0,0
1986,1,3,10,1003.5,2,2.1,0.1,68.6,1003.5,360,5.1,83,436,7.1,-22.8,0,0,0,0,0,0
1986,1,3,11,1005,2,2.1,0.4,73.2,1005,340,4.1,159,500,12.1,-22.8,0,0,0,0,0,0
1986,1,3,12,1006,1,2.9,1,71.1,1006,330,4.1,206,547,15,-22.8,0,0,0,0,0,0
1986,1,3,13,1006.8,2,3.6,1.5,69.1,1006.8,330,5.1,215,521,15.7,-22.8,0,0,0,0,0,0
1986,1,3,14,1007.8,1,4.1,1.8,66.9,1007.8,340,5.1,192,542,14.1,-22.8,0,0,0,0,0,0
1986,1,3,15,1008.7,1,4.1,1.5,62.7,1008.7,350,5.1,133,511,10.3,-22.8,0,0,0,0,0,0
1986,1,3,16,1009.7,1,3.9,1.3,62.4,1009.7,360,4.6,26,0,4.7,-22.8,0,0,0,0,0,0
1986,1,3,17,1010.6,1,2.7,0.7,69.3,1010.6,350,2.6,1,0,-2.4,-22.8,0,0,0,0,0,0
1986,1,3,18,1011.8,1,0.5,-0.6,81.1,1011.8,310,2.6,0,0,-10.6,-22.8,0,0,0,0,0,0
1986,1,3,19,1012.6,1,0.8,-0.6,76.4,1012.6,350,3.6,0,0,-19.5,-22.8,0,0,0,0,0,0
1986,1,3,20,1013.7,1,1,-0.5,75,1013.7,90,1,0,0,-28.7,-22.8,0,0,0,0,0,0
1986,1,3,21,1014.6,2,-0.2,-1.4,80.2,1014.6,320,2.6,0,0,-38,-22.8,0,0,0,0,0,0
1986,1,3,22,1015.5,1,-0.6,-1.6,83.2,1015.5,290,1.5,0,0,-46.9,-22.8,0,0,0,0,0,0
1986,1,3,23,1016.2,1,-0.9,-1.7,86.3,1016.2,320,1,0,0,-54.6,-22.8,0,0,0,0,0,0
1986,1,3,24,1016.5,1,-0.3,-1.6,78.5,1016.5,320,1,0,0,-59.9,-22.8,0,0,0,0,0,0
1986,1,4,1,1016.8,1,-0.6,-1.7,81.5,1016.8,300,1,0,0,-61.3,-22.7,0,0,0,0,0,0
1986,1,4,2,1017,2,-1.4,-2.2,86,1017,320,1,0,0,-58.2,-22.7,0,0,0,0,0,0
1986,1,4,3,1017,1,-1.4,-2.1,87.7,1017,310,1,0,0,-51.7,-22.7,0,0,0,0,0,0
1986,1,4,4,1017.1,1,-3.4,-3.6,96.1,1017.1,10,1,0,0,-43.4,-22.7,0,0,0,0,0,0
1986,1,4,5,1017.1,0,-3.4,-3.5,98.1,1017.1,0,0,0,0,-34.3,-22.7,0,0,0,0,0,0
1986,1,4,6,1016.7,5,-3.3,-3.4,98.1,1016.7,70,1,0,0,-25,-22.7,0,0,0,0,0,0
1986,1,4,7,1016.6,7,-2.3,-2.8,90.8,1016.6,120,1,0,0,-15.8,-22.7,0,0,0,0,0,0
1986,1,4,8,1016.2,7,1,-0.3,78.2,1016.2,150,2.6,0,0,-7.2,-22.7,0,0,0,0,0,0
1986,1,4,9,1016.1,7,2.1,0.7,77.7,1016.1,160,4.1,7,0,0.6,-22.7,0,0,0,0,0,0
1986,1,4,10,1015.8,6,2.1,0.2,69.9,1015.8,150,3.6,60,147,7.2,-22.7,0,0,0,0,0,0
