.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Edinburgh
Latitude, 55.951, Longitude, -3.447, Altitude,46

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2003,1,1,1,1006.3,8,2.6,1.7,85.9,1006.3,50,1.5,0,0,-57,-23,0,0,0,0,0,0
2003,1,1,2,1005,7,2.3,1.3,84.2,1005,150,1.5,0,0,-54.5,-23,0,0,0,0,0,0
2003,1,1,3,1004,7,2,1.2,87.2,1004,110,1.5,0,0,-49,-23,0,0,0,0,0,0
2003,1,1,4,1002.5,8,1.5,1,91.8,1002.5,80,0.5,0,0,-41.8,-23,0,0,0,0,0,0
2003,1,1,5,1000.9,8,2.1,1.3,87.3,1000.9,80,2.6,0,0,-33.8,-23,0,0,0,0,0,0
2003,1,1,6,999.5,8,2,1.3,88.8,999.5,50,1.5,0,0,-25.4,-23,0,0,0,0,0,0
2003,1,1,7,998,8,2,1.3,88.8,998,90,6.2,0,0,-17.1,-23,0,0,0,0,0,0
2003,1,1,8,996.7,8,2.1,1.5,90.4,996.7,90,4.6,0,0,-9.3,-23,0,0,0,0,0,0
2003,1,1,9,995.4,7,1.9,1.5,93.6,995.4,80,4.6,1,0,-2.3,-23,0,0,0,0,0,0
2003,1,1,10,994.4,8,1.6,1.4,96.7,994.4,60,4.1,18,0,3.5,-23,0,0,0,0,0,0
2003,1,1,11,993.4,8,0.7,0.6,98.3,993.4,90,2.1,24,0,7.9,-23,0,0,0,0,0,0
2003,1,1,12,992,8,1.1,1,98.3,992,70,2.6,34,0,10.4,-23,0,0,0,0,0,0
2003,1,1,13,990.6,8,1.8,1.7,98.4,990.6,100,1,36,0,11,-23,0,0,0,0,0,0
2003,1,1,14,989.4,8,2.2,2.1,98.4,989.4,170,1,30,0,9.6,-23,0,0,0,0,0,0
2003,1,1,15,988.3,8,3,3,100,988.3,140,1,36,0,6.2,-23,0,0,0,0,0,0
2003,1,1,16,987.7,8,3.1,3.1,100,987.7,150,1.5,8,0,1.1,-23,0,0,0,0,0,0
2003,1,1,17,987.3,8,3.3,3.2,98.5,987.3,240,0.5,0,0,-5.3,-23,0,0,0,0,0,0
2003,1,1,18,987,8,3.2,3.2,100,987,190,1,0,0,-12.6,-23,0,0,0,0,0,0
2003,1,1,19,987.1,8,3.5,3.5,100,987.1,190,1.5,0,0,-20.7,-23,0,0,0,0,0,0
2003,1,1,20,987.1,8,3.5,3.5,100,987.1,140,0.5,0,0,-29,-23,0,0,0,0,0,0
