.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Glasgow
Latitude, 55.869, Longitude, -4.431, Altitude,32

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1988,1,1,1,987.7,6,7.2,6.2,87.1,987.7,220,9.3,0,0,-57.2,-23,0,0,0,0,0,0
1988,1,1,2,987.9,7,7.4,6.4,87.2,987.9,220,10.8,0,0,-54.8,-23,0,0,0,0,0,0
1988,1,1,3,987.9,7,6.6,5.5,85.6,987.9,230,9.8,0,0,-49.5,-23,0,0,0,0,0,0
1988,1,1,4,987.8,7,7.6,6.2,82.4,987.8,240,11.3,0,0,-42.4,-23,0,0,0,0,0,0
1988,1,1,5,988.3,6,6.9,5.8,85.7,988.3,240,9.3,0,0,-34.4,-23,0,0,0,0,0,0
1988,1,1,6,988.6,7,7.4,6.2,84.7,988.6,240,10.3,0,0,-26,-23,0,0,0,0,0,0
1988,1,1,7,988.8,7,7.3,6.4,88.4,988.8,230,6.7,0,0,-17.7,-23,0,0,0,0,0,0
1988,1,1,8,988.4,7,7.1,6.3,89.6,988.4,220,7.2,0,0,-9.8,-23,0,0,0,0,0,0
1988,1,1,9,988.3,3,7.4,5.9,81,988.3,230,8.7,1,0,-2.8,-23,0,0,0,0,0,0
1988,1,1,10,988.1,6,7.4,6.7,91,988.1,220,8.2,17,0,3.2,-23,0,0,0,0,0,0
1988,1,1,11,988,7,7.9,7.2,91.2,988,210,6.2,48,59,7.6,-23,0,0,0,0,0,0
1988,1,1,12,987,7,8.4,7.7,91.3,987,230,8.7,70,64,10.3,-23,0,0,0,0,0,0
1988,1,1,13,985.9,7,8.6,7.9,91.4,985.9,220,8.7,76,65,11.1,-23,0,0,0,0,0,0
1988,1,1,14,985.3,7,8.7,8.3,95.1,985.3,230,7.2,65,63,9.7,-23,0,0,0,0,0,0
1988,1,1,15,983.6,7,9,8.6,95.1,983.6,220,6.2,39,0,6.5,-23,0,0,0,0,0,0
1988,1,1,16,982.6,8,9.6,9,92.9,982.6,210,8.2,10,0,1.5,-23,0,0,0,0,0,0
1988,1,1,17,981,8,10.3,9.7,93.1,981,210,7.7,0,0,-4.8,-23,0,0,0,0,0,0
1988,1,1,18,979.2,8,11.1,10.5,93.2,979.2,210,10.3,0,0,-12.1,-23,0,0,0,0,0,0
1988,1,1,19,978.4,8,10.7,10.4,96.6,978.4,220,10.3,0,0,-20.1,-23,0,0,0,0,0,0
1988,1,1,20,977.9,8,10.7,10.4,96.6,977.9,230,8.2,0,0,-28.5,-23,0,0,0,0,0,0
1988,1,1,21,978.4,8,9.3,8.7,92.8,978.4,260,8.2,0,0,-36.8,-23,0,0,0,0,0,0
1988,1,1,22,979.8,7,9,8.1,89.2,979.8,260,6.7,0,0,-44.6,-23,0,0,0,0,0,0
1988,1,1,23,980.1,7,8.8,7.7,86.7,980.1,260,7.7,0,0,-51.3,-23,0,0,0,0,0,0
1988,1,1,24,980.1,7,8.5,7.3,85.4,980.1,250,5.7,0,0,-55.8,-23,0,0,0,0,0,0
1988,1,2,1,980.1,7,8.9,7.5,83.2,980.1,230,6.2,0,0,-57.1,-23,0,0,0,0,0,0
1988,1,2,2,979.9,7,8.1,7.1,87.6,979.9,220,5.7,0,0,-54.8,-23,0,0,0,0,0,0
1988,1,2,3,978.7,7,8.3,7.2,86.5,978.7,220,6.2,0,0,-49.5,-23,0,0,0,0,0,0
1988,1,2,4,978,7,8.2,7.3,88.9,978,220,6.7,0,0,-42.4,-23,0,0,0,0,0,0
1988,1,2,5,976.8,8,8.3,7.2,86.5,976.8,230,5.7,0,0,-34.4,-23,0,0,0,0,0,0
1988,1,2,6,975.6,8,7.8,6.5,83.8,975.6,230,4.6,0,0,-26,-23,0,0,0,0,0,0
1988,1,2,7,974.5,8,7.9,6.6,83.9,974.5,210,4.1,0,0,-17.7,-23,0,0,0,0,0,0
1988,1,2,8,973.7,8,7.4,6.2,84.8,973.7,200,4.6,0,0,-9.8,-23,0,0,0,0,0,0
1988,1,2,9,972.1,8,6.8,5.8,87.1,972.1,190,7.2,1,0,-2.8,-23,0,0,0,0,0,0
1988,1,2,10,971.7,7,6.6,5.9,90.8,971.7,200,5.1,17,0,3.2,-23,0,0,0,0,0,0
1988,1,2,11,970.9,7,7.1,6.1,87.2,970.9,210,5.7,48,59,7.7,-23,0,0,0,0,0,0
1988,1,2,12,970.4,7,6.6,5.5,85.7,970.4,230,6.7,70,64,10.4,-23,0,0,0,0,0,0
1988,1,2,13,970.1,7,6.5,5.4,85.6,970.1,240,4.6,76,65,11.2,-23,0,0,0,0,0,0
1988,1,2,14,969.8,7,6.8,5.5,83.3,969.8,230,7.2,66,63,9.8,-23,0,0,0,0,0,0
1988,1,2,15,969.9,7,4.6,4,91.5,969.9,230,4.1,40,0,6.6,-23,0,0,0,0,0,0
1988,1,2,16,969.5,7,5.6,4.5,85.1,969.5,240,5.1,10,0,1.7,-23,0,0,0,0,0,0
1988,1,2,17,969.1,4,5.3,4.2,85,969.1,220,6.7,0,0,-4.7,-23,0,0,0,0,0,0
1988,1,2,18,968.7,5,5.8,4.6,83.9,968.7,220,5.1,0,0,-12,-23,0,0,0,0,0,0
1988,1,2,19,968.2,7,5.9,4.4,80.1,968.2,220,5.7,0,0,-20,-23,0,0,0,0,0,0
1988,1,2,20,967.5,7,5.9,4.6,82.7,967.5,200,4.6,0,0,-28.3,-23,0,0,0,0,0,0
1988,1,2,21,966.8,7,5.7,4.5,83.9,966.8,190,5.7,0,0,-36.7,-23,0,0,0,0,0,0
1988,1,2,22,966.6,7,5.3,4.7,91.7,966.6,240,1.5,0,0,-44.5,-23,0,0,0,0,0,0
1988,1,2,23,966.2,7,5.3,4.5,89,966.2,230,5.7,0,0,-51.2,-23,0,0,0,0,0,0
1988,1,2,24,966.5,7,5.7,5,90.5,966.5,240,5.7,0,0,-55.7,-23,0,0,0,0,0,0
1988,1,3,1,966.5,4,5.6,4.6,86.5,966.5,250,9.3,0,0,-57,-22.9,0,0,0,0,0,0
1988,1,3,2,967.3,6,5.2,4.2,86.3,967.3,250,7.7,0,0,-54.7,-22.9,0,0,0,0,0,0
1988,1,3,3,967.9,6,4.8,3.8,86,967.9,240,4.6,0,0,-49.5,-22.9,0,0,0,0,0,0
1988,1,3,4,968.4,5,5.1,3.9,83.5,968.4,270,5.1,0,0,-42.4,-22.9,0,0,0,0,0,0
1988,1,3,5,969,7,4.2,3.4,88.5,969,250,3.1,0,0,-34.4,-22.9,0,0,0,0,0,0
1988,1,3,6,969,7,5.4,4.1,82.4,969,250,5.7,0,0,-26,-22.9,0,0,0,0,0,0
1988,1,3,7,969.1,7,5.6,4.7,87.8,969.1,220,8.2,0,0,-17.7,-22.9,0,0,0,0,0,0
1988,1,3,8,969.3,7,5.2,4.7,93.1,969.3,240,5.7,0,0,-9.8,-22.9,0,0,0,0,0,0
1988,1,3,9,969.2,7,4.6,3.8,88.7,969.2,220,4.1,1,0,-2.7,-22.9,0,0,0,0,0,0
1988,1,3,10,968.3,8,6.1,5.2,88,968.3,200,6.7,17,0,3.2,-22.9,0,0,0,0,0,0
1988,1,3,11,967.7,7,7.2,5.9,83.5,967.7,230,8.2,48,59,7.7,-22.9,0,0,0,0,0,0
1988,1,3,12,967.5,7,7,6.2,89.7,967.5,260,6.2,71,64,10.5,-22.9,0,0,0,0,0,0
1988,1,3,13,969,7,7,6,87.2,969,290,7.2,77,65,11.2,-22.9,0,0,0,0,0,0
1988,1,3,14,973.4,3,6,4.5,80.1,973.4,300,11.3,124,431,10,-22.9,0,0,0,0,0,0
1988,1,3,15,975.8,1,6,4.5,80.1,975.8,290,8.2,41,0,6.7,-22.9,0,0,0,0,0,0
1988,1,3,16,977.5,1,5.7,4.2,79.9,977.5,290,8.2,10,0,1.8,-22.9,0,0,0,0,0,0
