.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Leeds
Latitude, 53.836, Longitude, -1.197, Altitude,26.7

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1995,1,1,1,1005.2,1,-0.3,-2,72.2,1005.2,290,4.1,0,0,-59,-23,1,1,1,1,1,1
1995,1,1,2,1006,1,-0.7,-2.3,73.3,1006,290,4.1,0,0,-55.7,-23,1,1,1,1,1,1
1995,1,1,3,1007,0,-0.7,-2.3,73.3,1007,290,5.1,0,0,-49.5,-23,1,1,1,1,1,1
1995,1,1,4,1007.1,0,-0.7,-2.4,71.6,1007.1,290,5.1,0,0,-41.6,-23,1,1,1,1,1,1
1995,1,1,5,1007.6,0,-1,-2.5,74.6,1007.6,300,5.1,0,0,-33,-23,1,1,1,1,1,1
1995,1,1,6,1007.7,0,-1.1,-2.6,74.4,1007.7,290,4.1,0,0,-24.2,-23,1,1,1,1,1,1
1995,1,1,7,1007.5,1,-1.5,-2.9,75.7,1007.5,290,2.1,0,0,-15.5,-23,1,1,1,1,1,1
1995,1,1,8,1007.6,0,-1,-2.5,74.6,1007.6,290,5.1,0,0,-7.4,-23,1,1,1,1,1,1
1995,1,1,9,1007.3,1,-0.5,-2.1,73.5,1007.3,280,5.7,4,0,-0.2,-23,1,1,1,1,1,1
1995,1,1,10,1007.4,5,0.2,-1.3,74.1,1007.4,280,6.2,34,0,5.8,-23,1,1,1,1,1,1
