.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, London
Latitude, 51.479, Longitude, -0.449, Altitude,25

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2011,1,1,1,1025.8,8,5.9,4.5,80.8,1025.8,320,1.5,0,0,-61.2,-23,0,0,0,0,0,0
2011,1,1,2,1025.4,8,5.8,4.4,80.8,1025.4,310,2.6,0,0,-57.2,-23,0,0,0,0,0,0
2011,1,1,3,1025.4,8,5.5,4.4,84.6,1025.4,300,2.1,0,0,-50.2,-23,0,0,0,0,0,0
2011,1,1,4,1025.2,8,5.4,4.3,84.6,1025.2,300,2.6,0,0,-41.7,-23,0,0,0,0,0,0
2011,1,1,5,1024.6,8,5,3.9,84.3,1024.6,270,2.6,0,0,-32.5,-23,0,0,0,0,0,0
2011,1,1,6,1024.1,8,4.8,3.8,85.6,1024.1,260,3.6,0,0,-23.2,-23,0,0,0,0,0,0
2011,1,1,7,1024,8,4.7,3.7,85.6,1024,270,3.1,0,0,-14.1,-23,0,0,0,0,0,0
2011,1,1,8,1024,8,5,3.9,84.3,1024,280,3.6,0,0,-5.7,-23,0,0,0,0,0,0
2011,1,1,9,1024.2,7,4.9,4,87.1,1024.2,280,2.1,11,0,1.9,-23,0,0,0,0,0,0
2011,1,1,10,1024.3,8,5.1,4.2,87.2,1024.3,280,2.6,25,0,8.1,-23,0,0,0,0,0,0
2011,1,1,11,1024.6,8,5.3,4.4,87.3,1024.6,280,2.1,42,0,12.6,-23,0,0,0,0,0,0
