.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Manchester
Latitude, 53.356, Longitude, -2.279, Altitude,78.5

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1999,1,1,1,998,7,8.4,6.9,81.6,998,140,5.7,0,0,-59.5,-23,0,0,0,0,0,0
1999,1,1,2,997.8,7,8.4,7.1,84,997.8,150,6.2,0,0,-56.3,-23,0,0,0,0,0,0
1999,1,1,3,997.6,7,8.6,6.9,79.4,997.6,140,7.2,0,0,-50.1,-23,0,0,0,0,0,0
1999,1,1,4,997.5,7,8.4,6.8,80.4,997.5,160,7.7,0,0,-42.2,-23,0,0,0,0,0,0
1999,1,1,5,997.8,7,8.2,6.7,81.5,997.8,160,7.2,0,0,-33.5,-23,0,0,0,0,0,0
1999,1,1,6,998.4,7,8.2,6.8,82.7,998.4,180,6.2,0,0,-24.5,-23,0,0,0,0,0,0
1999,1,1,7,999,5,7.6,6.3,83.5,999,180,6.2,0,0,-15.8,-23,0,0,0,0,0,0
1999,1,1,8,999,5,7.1,6,85.7,999,180,5.7,0,0,-7.6,-23,0,0,0,0,0,0
1999,1,1,9,999.5,6,6.8,5.7,85.6,999.5,170,5.7,4,0,-0.2,-23,0,0,0,0,0,0
1999,1,1,10,999.9,5,6.4,5.3,85.4,999.9,170,5.7,34,0,5.9,-23,0,0,0,0,0,0
1999,1,1,11,1000.1,2,7.1,5.4,78.2,1000.1,160,6.2,134,485,10.5,-23,0,0,0,0,0,0
1999,1,1,12,999.9,2,8.1,6,74.2,999.9,160,7.2,175,507,13.1,-23,0,0,0,0,0,0
1999,1,1,13,999.3,4,8.5,6.1,71,999.3,170,9.3,170,381,13.5,-23,0,0,0,0,0,0
1999,1,1,14,998.7,7,8.4,6.2,73.3,998.7,180,8.2,82,66,11.8,-23,0,0,0,0,0,0
1999,1,1,15,998.4,7,8.6,6.7,77,998.4,170,8.2,51,60,8.1,-23,0,0,0,0,0,0
1999,1,1,16,998.2,7,8.8,6.7,74.8,998.2,180,9.8,14,0,2.5,-23,0,0,0,0,0,0
1999,1,1,17,997.9,6,8.2,6.5,79.1,997.9,170,7.7,0,0,-4.3,-23,0,0,0,0,0,0
1999,1,1,18,997.7,7,8.3,6.7,80.3,997.7,170,7.2,0,0,-12.2,-23,0,0,0,0,0,0
1999,1,1,19,997.8,7,8.1,6.5,80.2,997.8,170,8.2,0,0,-20.8,-23,0,0,0,0,0,0
1999,1,1,20,997.2,7,7.9,6.3,80,997.2,180,7.7,0,0,-29.7,-23,0,0,0,0,0,0
1999,1,1,21,996.2,7,7.8,6.3,81.2,996.2,170,9.3,0,0,-38.5,-23,0,0,0,0,0,0
1999,1,1,22,995.5,8,8.1,6.4,79,995.5,170,8.7,0,0,-46.9,-23,0,0,0,0,0,0
1999,1,1,23,994.3,8,8.4,6.4,75.7,994.3,170,10.3,0,0,-53.9,-23,0,0,0,0,0,0
1999,1,1,24,992.3,8,8.8,6.6,73.8,992.3,170,9.8,0,0,-58.6,-23,0,0,0,0,0,0
1999,1,2,1,990.4,8,8.8,6.6,73.8,990.4,160,10.8,0,0,-59.4,-22.9,0,0,0,0,0,0
1999,1,2,2,988.4,7,8.7,6.5,73.7,988.4,170,13.4,0,0,-56.3,-22.9,0,0,0,0,0,0
1999,1,2,3,986.7,8,7.8,6.5,83.7,986.7,170,13.9,0,0,-50.1,-22.9,0,0,0,0,0,0
1999,1,2,4,986,8,7,6.3,90.9,986,170,12.3,0,0,-42.2,-22.9,0,0,0,0,0,0
1999,1,2,5,985.1,7,6.9,6.2,90.9,985.1,170,9.3,0,0,-33.5,-22.9,0,0,0,0,0,0
1999,1,2,6,985.3,7,7.3,6.4,88.5,985.3,190,7.7,0,0,-24.5,-22.9,0,0,0,0,0,0
1999,1,2,7,985.7,3,6.8,5.3,80.6,985.7,200,8.7,0,0,-15.8,-22.9,0,0,0,0,0,0
1999,1,2,8,986.1,3,6.3,4.8,80.2,986.1,200,8.7,0,0,-7.6,-22.9,0,0,0,0,0,0
1999,1,2,9,986.5,2,5.6,4.3,82.3,986.5,190,7.2,4,0,-0.2,-22.9,0,0,0,0,0,0
1999,1,2,10,987.3,3,5.7,4.2,79.7,987.3,190,8.2,35,0,6,-22.9,0,0,0,0,0,0
1999,1,2,11,987.6,3,6.1,4.3,76.2,987.6,200,8.2,132,437,10.5,-22.9,0,0,0,0,0,0
1999,1,2,12,988,5,6.3,4.4,75.1,988,200,9.3,150,282,13.2,-22.9,0,0,0,0,0,0
1999,1,2,13,988.1,3,6.1,4.7,81.4,988.1,210,9.3,180,458,13.6,-22.9,0,0,0,0,0,0
1999,1,2,14,988.4,2,6.6,4.7,75.4,988.4,220,8.2,157,498,11.9,-22.9,0,0,0,0,0,0
1999,1,2,15,988.5,6,6.2,4.3,75,988.5,210,9.8,71,154,8.2,-22.9,0,0,0,0,0,0
1999,1,2,16,989.1,2,5.2,3.8,80.7,989.1,190,6.7,14,0,2.7,-22.9,0,0,0,0,0,0
1999,1,2,17,989.6,6,5,3.3,76.4,989.6,200,7.7,0,0,-4.2,-22.9,0,0,0,0,0,0
1999,1,2,18,990.5,6,4.6,3.5,84.4,990.5,200,6.7,0,0,-12.1,-22.9,0,0,0,0,0,0
1999,1,2,19,991.1,5,4.2,3.1,84.1,991.1,180,6.2,0,0,-20.6,-22.9,0,0,0,0,0,0
1999,1,2,20,991.8,6,4.3,3.1,82.8,991.8,190,6.7,0,0,-29.6,-22.9,0,0,0,0,0,0
1999,1,2,21,992.6,7,4.4,3,80,992.6,190,7.2,0,0,-38.4,-22.9,0,0,0,0,0,0
1999,1,2,22,993.3,7,4.3,3.1,82.7,993.3,190,5.7,0,0,-46.8,-22.9,0,0,0,0,0,0
1999,1,2,23,993.9,7,4.8,3.6,83.1,993.9,200,6.7,0,0,-53.8,-22.9,0,0,0,0,0,0
1999,1,2,24,994.5,7,4.5,3.7,88.5,994.5,200,6.7,0,0,-58.4,-22.9,0,0,0,0,0,0
1999,1,3,1,995,4,5.4,4.2,83.5,995,210,5.7,0,0,-59.4,-22.8,0,0,0,0,0,0
1999,1,3,2,994.5,7,4.9,3.6,81.8,994.5,210,4.6,0,0,-56.2,-22.8,0,0,0,0,0,0
1999,1,3,3,994.5,7,4.7,3.5,83,994.5,200,5.1,0,0,-50.1,-22.8,0,0,0,0,0,0
1999,1,3,4,993.6,8,4.9,3.7,83.1,993.6,190,6.7,0,0,-42.2,-22.8,0,0,0,0,0,0
1999,1,3,5,992.6,8,4.8,3.5,81.7,992.6,180,5.7,0,0,-33.5,-22.8,0,0,0,0,0,0
1999,1,3,6,991.3,8,4.9,3.6,81.8,991.3,180,4.6,0,0,-24.5,-22.8,0,0,0,0,0,0
1999,1,3,7,990.2,8,5,4,86,990.2,170,5.7,0,0,-15.8,-22.8,0,0,0,0,0,0
1999,1,3,8,989.4,8,4.2,3.6,91.3,989.4,150,2.6,0,0,-7.5,-22.8,0,0,0,0,0,0
1999,1,3,9,989.1,8,3.2,2.6,90.9,989.1,40,4.6,5,0,-0.2,-22.8,0,0,0,0,0,0
1999,1,3,10,990.7,8,3,2.3,89.3,990.7,10,5.7,35,0,6,-22.8,0,0,0,0,0,0
1999,1,3,11,993.3,8,3.3,2.8,92.4,993.3,330,3.6,34,0,10.6,-22.8,0,0,0,0,0,0
1999,1,3,12,996.2,7,4.4,3.9,92.8,996.2,310,3.6,93,67,13.2,-22.8,0,0,0,0,0,0
1999,1,3,13,998.1,7,4.2,3.8,94.1,998.1,270,2.6,97,67,13.7,-22.8,0,0,0,0,0,0
1999,1,3,14,999.3,6,5.7,4.9,89,999.3,250,3.6,115,168,12,-22.8,0,0,0,0,0,0
1999,1,3,15,1000,5,6.8,5.5,83,1000,270,4.6,86,254,8.3,-22.8,0,0,0,0,0,0
1999,1,3,16,1000.7,6,6.7,5.1,79.1,1000.7,230,2.6,15,0,2.8,-22.8,0,0,0,0,0,0
1999,1,3,17,1001,7,5.6,4.1,79.5,1001,240,2.1,0,0,-4.1,-22.8,0,0,0,0,0,0
1999,1,3,18,1001.5,7,5.5,3.9,78.1,1001.5,230,4.6,0,0,-12,-22.8,0,0,0,0,0,0
1999,1,3,19,1001.8,7,5,3.7,81.8,1001.8,180,3.6,0,0,-20.5,-22.8,0,0,0,0,0,0
1999,1,3,20,1001.3,8,5.1,4,84.6,1001.3,180,4.1,0,0,-29.4,-22.8,0,0,0,0,0,0
1999,1,3,21,1000.8,8,4.9,4.3,91.5,1000.8,180,6.2,0,0,-38.3,-22.8,0,0,0,0,0,0
1999,1,3,22,999.8,8,4.8,4.2,91.4,999.8,160,6.2,0,0,-46.6,-22.8,0,0,0,0,0,0
1999,1,3,23,997.7,8,5.1,4.4,90.2,997.7,150,7.2,0,0,-53.7,-22.8,0,0,0,0,0,0
1999,1,3,24,995.2,8,6.1,5.4,90.5,995.2,170,9.3,0,0,-58.3,-22.8,0,0,0,0,0,0
1999,1,4,1,993.7,8,6.9,6.2,90.8,993.7,170,9.8,0,0,-59.3,-22.7,0,0,0,0,0,0
1999,1,4,2,992.9,8,7.8,7.1,91.1,992.9,180,8.7,0,0,-56.2,-22.7,0,0,0,0,0,0
1999,1,4,3,992.1,8,8.6,8,92.6,992.1,180,8.2,0,0,-50,-22.7,0,0,0,0,0,0
1999,1,4,4,992.6,7,10.3,9.5,90.7,992.6,200,6.7,0,0,-42.2,-22.7,0,0,0,0,0,0
1999,1,4,5,992.5,8,10.8,9.9,89.8,992.5,210,7.2,0,0,-33.5,-22.7,0,0,0,0,0,0
1999,1,4,6,992.8,7,10.9,8.2,70.3,992.8,210,7.2,0,0,-24.5,-22.7,0,0,0,0,0,0
1999,1,4,7,993.5,7,9.8,7.7,75.8,993.5,210,7.2,0,0,-15.8,-22.7,0,0,0,0,0,0
1999,1,4,8,993.8,7,10,7.1,67.2,993.8,210,8.2,0,0,-7.5,-22.7,0,0,0,0,0,0
1999,1,4,9,994.3,7,10.2,6.5,58.9,994.3,220,8.2,5,0,-0.1,-22.7,0,0,0,0,0,0
1999,1,4,10,995.2,7,10,6.8,63.9,995.2,220,8.7,36,0,6.1,-22.7,0,0,0,0,0,0
1999,1,4,11,995.8,7,10.1,6.5,59.8,995.8,220,9.8,72,64,10.6,-22.7,0,0,0,0,0,0
1999,1,4,12,997.6,7,10,6.4,59.6,997.6,240,7.7,94,67,13.3,-22.7,0,0,0,0,0,0
1999,1,4,13,998.4,7,10.2,6.2,55.7,998.4,240,7.7,98,67,13.8,-22.7,0,0,0,0,0,0
1999,1,4,14,999.4,7,10,6,55.4,999.4,250,8.7,85,66,12.2,-22.7,0,0,0,0,0,0
1999,1,4,15,1000.6,7,9.4,5.5,55.5,1000.6,250,8.2,54,61,8.4,-22.7,0,0,0,0,0,0
1999,1,4,16,1001.9,7,8.9,5.1,55.7,1001.9,230,7.7,16,0,2.9,-22.7,0,0,0,0,0,0
1999,1,4,17,1003.2,7,8.7,4.9,55.4,1003.2,230,6.7,0,0,-3.9,-22.7,0,0,0,0,0,0
1999,1,4,18,1004.6,7,8.3,4.6,55.8,1004.6,240,4.6,0,0,-11.8,-22.7,0,0,0,0,0,0
1999,1,4,19,1005.6,7,7.3,4.5,64.8,1005.6,200,3.6,0,0,-20.4,-22.7,0,0,0,0,0,0
1999,1,4,20,1006,7,7.6,4.5,61.6,1006,210,5.1,0,0,-29.3,-22.7,0,0,0,0,0,0
1999,1,4,21,1006.6,7,7.4,5.5,75.9,1006.6,210,4.6,0,0,-38.1,-22.7,0,0,0,0,0,0
1999,1,4,22,1006.7,7,7.4,5.8,79.6,1006.7,190,4.6,0,0,-46.5,-22.7,0,0,0,0,0,0
1999,1,4,23,1006.2,7,7.5,5.8,78.4,1006.2,200,4.6,0,0,-53.5,-22.7,0,0,0,0,0,0
1999,1,4,24,1006,7,7.5,5.9,79.7,1006,190,3.6,0,0,-58.2,-22.7,0,0,0,0,0,0
1999,1,5,1,1006,8,7.3,6,83.3,1006,190,3.1,0,0,-59.2,-22.6,0,0,0,0,0,0
1999,1,5,2,1005.1,8,6.7,6,90.7,1005.1,180,1,0,0,-56.1,-22.6,0,0,0,0,0,0
1999,1,5,3,1004.3,8,6.2,6,97.3,1004.3,0,0,0,0,-50,-22.6,0,0,0,0,0,0
1999,1,5,4,1003,8,6.7,6.4,96,1003,130,2.1,0,0,-42.1,-22.6,0,0,0,0,0,0
1999,1,5,5,1002.6,8,9.2,8.5,91.5,1002.6,180,7.2,0,0,-33.4,-22.6,0,0,0,0,0,0
1999,1,5,6,1002.2,8,10.2,9.7,94.1,1002.2,180,7.2,0,0,-24.5,-22.6,0,0,0,0,0,0
1999,1,5,7,1002.1,8,10.9,10.4,94.3,1002.1,190,7.2,0,0,-15.7,-22.6,0,0,0,0,0,0
1999,1,5,8,1002.1,8,11.3,10.6,92.1,1002.1,190,7.7,0,0,-7.5,-22.6,0,0,0,0,0,0
1999,1,5,9,1002.3,8,11.8,10.8,89,1002.3,190,7.7,5,0,-0.1,-22.6,0,0,0,0,0,0
1999,1,5,10,1002.8,8,12.3,11,85.9,1002.8,190,8.2,36,0,6.1,-22.6,0,0,0,0,0,0
1999,1,5,11,1003.5,8,12.2,11.2,89.1,1003.5,200,8.2,35,0,10.7,-22.6,0,0,0,0,0,0
1999,1,5,12,1003.8,8,12.4,11.3,88.1,1003.8,200,6.7,45,0,13.4,-22.6,0,0,0,0,0,0
1999,1,5,13,1003.8,7,13,11.4,83.1,1003.8,200,8.2,99,67,13.9,-22.6,0,0,0,0,0,0
1999,1,5,14,1003.6,8,13.2,11.4,81.2,1003.6,190,8.7,41,0,12.3,-22.6,0,0,0,0,0,0
1999,1,5,15,1003.6,8,13.2,11.3,80.2,1003.6,200,7.2,26,0,8.6,-22.6,0,0,0,0,0,0
1999,1,5,16,1003.4,8,13,11.1,80.1,1003.4,200,10.3,16,0,3.1,-22.6,0,0,0,0,0,0
1999,1,5,17,1003.5,8,13,11,79.1,1003.5,200,9.3,0,0,-3.8,-22.6,0,0,0,0,0,0
1999,1,5,18,1003.8,7,12.8,10.9,80,1003.8,200,9.3,0,0,-11.7,-22.6,0,0,0,0,0,0
1999,1,5,19,1003.8,8,12.6,10.7,79.8,1003.8,200,10.3,0,0,-20.2,-22.6,0,0,0,0,0,0
1999,1,5,20,1004,8,11.5,10.4,87.7,1004,200,9.8,0,0,-29.1,-22.6,0,0,0,0,0,0
1999,1,5,21,1004.2,8,12.1,10.2,79.5,1004.2,200,9.8,0,0,-38,-22.6,0,0,0,0,0,0
1999,1,5,22,1004,8,12.1,10.1,78.5,1004,190,8.7,0,0,-46.3,-22.6,0,0,0,0,0,0
1999,1,5,23,1003.8,8,12.1,10.2,79.5,1003.8,200,9.8,0,0,-53.4,-22.6,0,0,0,0,0,0
1999,1,5,24,1003.8,8,11.8,10.1,81.4,1003.8,190,7.7,0,0,-58.1,-22.6,0,0,0,0,0,0
1999,1,6,1,1003.6,8,11.5,10,83.4,1003.6,190,7.7,0,0,-59.1,-22.5,0,0,0,0,0,0
1999,1,6,2,1003.3,8,11.8,10.3,83.6,1003.3,190,8.2,0,0,-56.1,-22.5,0,0,0,0,0,0
1999,1,6,3,1002.9,8,12.2,10.6,82.7,1002.9,200,8.7,0,0,-50,-22.5,0,0,0,0,0,0
1999,1,6,4,1003,8,12.3,10.6,81.7,1003,200,8.2,0,0,-42.1,-22.5,0,0,0,0,0,0
1999,1,6,5,1002.2,8,12.8,10.9,80,1002.2,200,9.3,0,0,-33.4,-22.5,0,0,0,0,0,0
1999,1,6,6,1001.9,8,12.7,10.8,79.9,1001.9,200,8.2,0,0,-24.5,-22.5,0,0,0,0,0,0
1999,1,6,7,1002.4,8,9.3,8.5,90.4,1002.4,310,3.6,0,0,-15.7,-22.5,0,0,0,0,0,0
1999,1,6,8,1002.8,8,8.3,7.8,93.7,1002.8,280,3.1,0,0,-7.5,-22.5,0,0,0,0,0,0
1999,1,6,9,1004.1,8,7.8,7.5,96.2,1004.1,270,3.1,5,0,-0,-22.5,0,0,0,0,0,0
1999,1,6,10,1004.5,8,7.7,7.3,94.9,1004.5,260,3.1,36,0,6.2,-22.5,0,0,0,0,0,0
1999,1,6,11,1005,8,7.3,6.8,93.5,1005,260,3.1,35,0,10.8,-22.5,0,0,0,0,0,0
1999,1,6,12,1005.5,8,7.2,6.7,93.5,1005.5,250,2.6,46,0,13.5,-22.5,0,0,0,0,0,0
1999,1,6,13,1005.3,8,7.4,6.9,93.5,1005.3,240,1.5,48,0,14.1,-22.5,0,0,0,0,0,0
1999,1,6,14,1005.2,8,7.2,6.8,94.8,1005.2,260,2.1,41,0,12.4,-22.5,0,0,0,0,0,0
1999,1,6,15,1005.7,8,7.1,6.6,93.4,1005.7,250,2.1,27,0,8.7,-22.5,0,0,0,0,0,0
1999,1,6,16,1005.5,8,7,6.6,94.7,1005.5,280,2.1,17,0,3.2,-22.5,0,0,0,0,0,0
1999,1,6,17,1005.1,8,6.7,6.3,94.7,1005.1,220,1.5,0,0,-3.6,-22.5,0,0,0,0,0,0
1999,1,6,18,1005.4,8,6.4,5.9,93.3,1005.4,220,2.1,0,0,-11.5,-22.5,0,0,0,0,0,0
1999,1,6,19,1005.2,8,6.3,5.9,94.6,1005.2,230,1.5,0,0,-20.1,-22.5,0,0,0,0,0,0
1999,1,6,20,1005.1,8,6,5.6,94.5,1005.1,220,2.6,0,0,-29,-22.5,0,0,0,0,0,0
1999,1,6,21,1005.6,8,5.9,5.5,94.5,1005.6,200,1.5,0,0,-37.8,-22.5,0,0,0,0,0,0
1999,1,6,22,1005.4,8,5.8,5.4,94.5,1005.4,210,3.1,0,0,-46.2,-22.5,0,0,0,0,0,0
1999,1,6,23,1005.7,8,5.8,5.4,94.5,1005.7,210,2.6,0,0,-53.2,-22.5,0,0,0,0,0,0
1999,1,6,24,1005.9,8,5.9,5.4,93.1,1005.9,230,1.5,0,0,-57.9,-22.5,0,0,0,0,0,0
1999,1,7,1,1006.1,7,5.8,5.3,93.1,1006.1,220,3.1,0,0,-59,-22.4,0,0,0,0,0,0
1999,1,7,2,1006.1,3,5.4,4.9,93,1006.1,230,1.5,0,0,-56,-22.4,0,0,0,0,0,0
