.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Newcastle
Latitude, 54.977, Longitude, -1.597, Altitude,83

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1992,1,1,1,1020.2,7,8.1,5.9,72.7,1020.2,220,5.1,0,0,-57.9,-23,0,0,0,0,0,0
1992,1,1,2,1019,6,8.2,6,72.8,1019,210,4.1,0,0,-54.8,-23,0,0,0,0,0,0
1992,1,1,3,1017.2,7,8.5,6.3,73.2,1017.2,220,4.1,0,0,-48.8,-23,0,0,0,0,0,0
1992,1,1,4,1015.7,6,9.2,6.7,70.4,1015.7,230,6.2,0,0,-41.3,-23,0,0,0,0,0,0
1992,1,1,5,1014.8,7,9.6,7.5,75.3,1014.8,230,8.2,0,0,-32.9,-23,0,0,0,0,0,0
1992,1,1,6,1014.1,7,10.7,8.4,74.1,1014.1,230,7.2,0,0,-24.3,-23,0,0,0,0,0,0
1992,1,1,7,1012.6,7,10.8,8.7,76.4,1012.6,250,7.7,0,0,-15.9,-23,0,0,0,0,0,0
1992,1,1,8,1011.5,4,11.3,9,74.6,1011.5,260,8.2,0,0,-8,-23,0,0,0,0,0,0
1992,1,1,9,1012.2,3,11.3,9.1,75.7,1012.2,270,8.2,3,0,-1,-23,0,0,0,0,0,0
1992,1,1,10,1013.1,6,11.5,9.3,75.8,1013.1,260,7.2,27,0,4.9,-23,0,0,0,0,0,0
