.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Norwich
Latitude, 52.651, Longitude, 0.568, Altitude,21

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2000,1,1,1,1019.2,8,6.2,6,97.3,1019.2,200,4.6,0,0,-59.9,-23,0,0,0,0,0,1
2000,1,1,2,1019.4,8,6.5,6.4,98.6,1019.4,210,3.6,0,0,-55.9,-23,0,0,0,0,0,1
2000,1,1,3,1019.7,8,6.8,6.6,97.3,1019.7,220,3.1,0,0,-49.1,-23,0,0,0,0,0,1
2000,1,1,4,1019.4,8,6.5,6.4,98.6,1019.4,200,3.1,0,0,-40.8,-23,0,0,0,0,0,1
2000,1,1,5,1020.4,8,7.1,7,98.7,1020.4,250,4.1,0,0,-31.8,-23,0,0,0,0,0,1
2000,1,1,6,1021,8,7.5,7.3,97.4,1021,270,3.6,0,0,-22.7,-23,0,0,0,0,0,1
2000,1,1,7,1021.7,8,5.2,5.1,98.6,1021.7,280,2.6,0,0,-13.9,-23,0,0,0,0,0,1
2000,1,1,8,1022.9,8,4.6,4.6,100,1022.9,0,0,0,0,-5.7,-23,0,0,0,0,0,1
2000,1,1,9,1023.9,8,2.7,2.7,100,1023.9,320,2.6,10,0,1.5,-23,0,0,0,0,0,1
2000,1,1,10,1024.5,8,2.4,2.4,100,1024.5,0,0,22,0,7.5,-23,0,0,0,0,0,1
2000,1,1,11,1025,8,2.8,2.8,100,1025,0,0,39,0,11.8,-23,0,0,0,0,0,1
2000,1,1,12,1025.7,8,2.5,2.5,100,1025.7,0,0,48,0,14,-23,0,0,0,0,0,1
2000,1,1,13,1025.7,8,3.2,3.2,100,1025.7,250,1,48,0,14.1,-23,0,0,0,0,0,1
2000,1,1,14,1025.6,7,3.4,3.3,98.5,1025.6,280,1,82,66,11.9,-23,0,0,0,0,0,1
2000,1,1,15,1025.5,8,3.3,3.3,100,1025.5,0,0,23,0,7.7,-23,0,0,0,0,0,1
2000,1,1,16,1025.7,8,3,3,100,1025.7,170,1.5,10,0,1.8,-23,0,0,0,0,0,1
2000,1,1,17,1025.8,8,2.7,2.7,100,1025.8,170,3.1,0,0,-5.4,-23,0,0,0,0,0,1
2000,1,1,18,1025.6,8,2.9,2.9,100,1025.6,160,4.6,0,0,-13.6,-23,0,0,0,0,0,1
2000,1,1,19,1025.8,8,3.1,3.1,100,1025.8,160,2.1,0,0,-22.4,-23,0,0,0,0,0,1
2000,1,1,20,1025.9,8,2.2,2.2,100,1025.9,170,1,0,0,-31.4,-23,0,0,0,0,0,1
2000,1,1,21,1025.9,1,1.5,1.4,98.3,1025.9,170,2.1,0,0,-40.4,-23,0,0,0,0,0,1
2000,1,1,22,1026,0,2.5,2.5,100,1026,170,1.5,0,0,-48.7,-23,0,0,0,0,0,1
2000,1,1,23,1026.1,3,2.5,2.5,100,1026.1,0,0,0,0,-55.6,-23,0,0,0,0,0,1
2000,1,1,24,1025.6,8,3.6,3.6,100,1025.6,170,1,0,0,-59.8,-23,0,0,0,0,0,1
2000,1,2,1,1024.7,8,5.4,5.3,98.6,1024.7,170,3.6,0,0,-59.8,-22.9,0,0,0,0,0,1
2000,1,2,2,1024.7,8,6.4,6.3,98.6,1024.7,180,2.6,0,0,-55.9,-22.9,0,0,0,0,0,1
