.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Nottingham
Latitude, 53.005, Longitude, -1.25, Altitude,117

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2003,1,1,1,1009.3,8,1.7,1.3,93.4,1009.3,140,4.6,0,0,-59.8,-23,0,0,0,0,0,0
2003,1,1,2,1008.1,8,1.9,1.5,93.5,1008.1,130,4.1,0,0,-56.3,-23,0,0,0,0,0,0
2003,1,1,3,1006.6,8,2,1.6,93.5,1006.6,110,3.6,0,0,-49.8,-23,0,0,0,0,0,0
2003,1,1,4,1005.2,8,2.2,1.8,93.6,1005.2,120,4.1,0,0,-41.7,-23,0,0,0,0,0,0
2003,1,1,5,1003.2,8,2.3,2.1,96.8,1003.2,110,4.6,0,0,-32.9,-23,0,0,0,0,0,0
2003,1,1,6,1000.7,8,2.3,2.2,98.4,1000.7,110,5.7,0,0,-23.9,-23,0,0,0,0,0,0
2003,1,1,7,998.9,8,3.1,3,98.5,998.9,120,4.6,0,0,-15.1,-23,0,0,0,0,0,0
2003,1,1,8,996.8,8,3.9,3.8,98.5,996.8,120,5.1,0,0,-6.9,-23,0,0,0,0,0,0
2003,1,1,9,994.9,8,4.5,4.4,98.5,994.9,130,5.1,6,0,0.5,-23,0,0,0,0,0,0
2003,1,1,10,993.7,8,4.8,4.8,100,993.7,130,2.6,40,0,6.6,-23,0,0,0,0,0,0
2003,1,1,11,992.5,8,5.5,5.4,98.6,992.5,140,2.6,36,0,11,-23,0,0,0,0,0,0
2003,1,1,12,991.2,8,6,5.9,98.6,991.2,140,1.5,46,0,13.5,-23,0,0,0,0,0,0
2003,1,1,13,989.9,8,6.7,6.6,98.7,989.9,170,1,47,0,13.8,-23,0,0,0,0,0,0
2003,1,1,14,988.6,8,8,7.9,98.7,988.6,220,2.1,40,0,12,-23,0,0,0,0,0,0
2003,1,1,15,987.9,8,8.4,8.4,100,987.9,240,1.5,24,0,8,-23,0,0,0,0,0,0
2003,1,1,16,987.7,8,8.7,8.7,100,987.7,250,2.1,13,0,2.4,-23,0,0,0,0,0,0
2003,1,1,17,987.7,8,8.7,8.6,98.8,987.7,250,2.6,0,0,-4.7,-23,0,0,0,0,0,0
2003,1,1,18,987.6,8,8.6,8.5,98.8,987.6,240,2.6,0,0,-12.7,-23,0,0,0,0,0,0
2003,1,1,19,987.9,8,8.6,8.6,100,987.9,260,2.6,0,0,-21.3,-23,0,0,0,0,0,0
2003,1,1,20,988,8,8.5,8.5,100,988,240,3.1,0,0,-30.3,-23,0,0,0,0,0,0
2003,1,1,21,988.3,8,8.4,8.4,100,988.3,250,4.1,0,0,-39.2,-23,0,0,0,0,0,0
2003,1,1,22,988.6,8,8.1,8.1,100,988.6,250,4.1,0,0,-47.6,-23,0,0,0,0,0,0
2003,1,1,23,989,8,7.8,7.8,100,989,240,3.6,0,0,-54.6,-23,0,0,0,0,0,0
2003,1,1,24,989.2,8,7.6,7.5,98.7,989.2,240,3.6,0,0,-59.1,-23,0,0,0,0,0,0
