.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Plymouth
Latitude, 50.354, Longitude, -4.121, Altitude,50

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2004,1,1,1,1012.5,7,7.6,7.4,97.4,1012.5,190,14.4,0,0,-62.6,-23,0,0,0,0,0,0
2004,1,1,2,1010.5,8,8.7,8.7,100,1010.5,200,13.9,0,0,-59.5,-23,0,0,0,0,0,0
2004,1,1,3,1008.7,8,9.4,9.4,100,1008.7,220,10.8,0,0,-52.8,-23,0,0,0,0,0,0
2004,1,1,4,1007.2,8,9.9,9.8,98.8,1007.2,250,11.8,0,0,-44.2,-23,0,0,0,0,0,0
2004,1,1,5,1007.8,4,8.2,6.9,83.8,1007.8,330,8.7,0,0,-34.9,-23,0,0,0,0,0,0
2004,1,1,6,1008.2,0,7.5,6.1,82.1,1008.2,310,6.7,0,0,-25.3,-23,0,0,0,0,0,0
2004,1,1,7,1008.4,7,8.2,6.9,83.8,1008.4,300,5.7,0,0,-16,-23,0,0,0,0,0,0
2004,1,1,8,1008.4,7,8.6,7.4,85.2,1008.4,300,6.7,0,0,-7.1,-23,0,0,0,0,0,0
2004,1,1,9,1008.8,8,8.9,7.7,85.4,1008.8,310,7.2,7,0,0.8,-23,0,0,0,0,0,0
2004,1,1,10,1009.6,2,8.8,6.8,75.9,1009.6,320,9.3,89,445,7.6,-23,0,0,0,0,0,0
2004,1,1,11,1010.3,1,8.7,6.7,75.8,1010.3,320,9.8,170,533,12.7,-23,0,0,0,0,0,0
2004,1,1,12,1010.8,6,8.7,6.7,75.8,1010.8,330,10.3,156,176,15.8,-23,0,0,0,0,0,0
2004,1,1,13,1010.9,6,8.8,6.3,70,1010.9,330,10.8,165,177,16.6,-23,0,0,0,0,0,0
2004,1,1,14,1010.6,1,9,6.2,66.9,1010.6,320,9.3,205,547,15,-23,0,0,0,0,0,0
2004,1,1,15,1010.8,0,8.8,6.1,67.8,1010.8,330,11.3,146,529,11.2,-23,0,0,0,0,0,0
2004,1,1,16,1011.7,4,8.7,6.1,68.8,1011.7,320,11.3,31,0,5.5,-23,0,0,0,0,0,0
2004,1,1,17,1013,7,8.1,5.9,72.8,1013,330,9.3,2,0,-1.7,-23,0,0,0,0,0,0
2004,1,1,18,1013.7,5,7.2,5.6,79.4,1013.7,320,8.7,0,0,-10,-23,0,0,0,0,0,0
2004,1,1,19,1014.4,7,7.6,5.5,73.5,1014.4,330,7.2,0,0,-19.1,-23,0,0,0,0,0,0
2004,1,1,20,1014.2,4,7.4,5.2,72.1,1014.2,330,8.7,0,0,-28.5,-23,0,0,0,0,0,0
2004,1,1,21,1015.2,7,7.6,5.5,73.5,1015.2,320,7.2,0,0,-38.1,-23,0,0,0,0,0,0
2004,1,1,22,1015.5,7,7.7,5.6,73.6,1015.5,330,7.7,0,0,-47.2,-23,0,0,0,0,0,0
2004,1,1,23,1016,7,7.7,5.4,71.2,1016,320,8.7,0,0,-55.3,-23,0,0,0,0,0,0
2004,1,1,24,1016.2,7,7.5,5.2,70.9,1016.2,330,8.7,0,0,-61,-23,0,0,0,0,0,0
2004,1,2,1,1016.2,4,7.1,5.2,75.5,1016.2,330,7.7,0,0,-62.6,-22.9,0,0,0,0,0,0
2004,1,2,2,1016.9,3,6.9,4.8,72.8,1016.9,320,6.7,0,0,-59.4,-22.9,0,0,0,0,0,0
2004,1,2,3,1017,5,6.8,4.9,75.2,1017,330,6.7,0,0,-52.8,-22.9,0,0,0,0,0,0
2004,1,2,4,1017.7,5,6.8,5,76.4,1017.7,340,6.7,0,0,-44.2,-22.9,0,0,0,0,0,0
2004,1,2,5,1018.4,5,6.4,4.8,78.7,1018.4,340,5.7,0,0,-34.9,-22.9,0,0,0,0,0,0
2004,1,2,6,1018.8,7,5.6,4.5,84.8,1018.8,330,4.1,0,0,-25.3,-22.9,0,0,0,0,0,0
2004,1,2,7,1019.3,8,6,4.8,83.6,1019.3,350,4.6,0,0,-16,-22.9,0,0,0,0,0,0
2004,1,2,8,1019.5,8,5.6,4.6,86.1,1019.5,350,7.2,0,0,-7.1,-22.9,0,0,0,0,0,0
2004,1,2,9,1019.9,2,5.2,4,83.1,1019.9,350,6.2,7,0,0.9,-22.9,0,0,0,0,0,0
2004,1,2,10,1021.1,1,5,3.9,84.4,1021.1,330,3.6,90,471,7.6,-22.9,0,0,0,0,0,0
2004,1,2,11,1021.7,1,5.6,4.2,80.7,1021.7,350,2.1,171,533,12.7,-22.9,0,0,0,0,0,0
2004,1,2,12,1022,0,6.4,4.5,74.7,1022,350,5.7,219,560,15.9,-22.9,0,0,0,0,0,0
2004,1,2,13,1021.9,0,7.2,4.5,65.6,1021.9,350,4.6,231,564,16.7,-22.9,0,0,0,0,0,0
2004,1,2,14,1021.8,0,7.5,4.4,61.2,1021.8,10,5.1,207,556,15.1,-22.9,0,0,0,0,0,0
2004,1,2,15,1022,0,7.4,4.4,62.2,1022,10,6.2,148,530,11.3,-22.9,0,0,0,0,0,0
2004,1,2,16,1022.8,0,6.8,4.2,66.3,1022.8,40,4.1,32,0,5.6,-22.9,0,0,0,0,0,0
2004,1,2,17,1023.1,3,6.1,3.7,67.9,1023.1,50,4.1,2,0,-1.6,-22.9,0,0,0,0,0,0
2004,1,2,18,1023.9,2,4.8,3.2,77.2,1023.9,70,2.1,0,0,-9.9,-22.9,0,0,0,0,0,0
2004,1,2,19,1024.1,0,3.8,2.7,83.6,1024.1,80,2.1,0,0,-18.9,-22.9,0,0,0,0,0,0
2004,1,2,20,1024.3,1,3,2.1,86,1024.3,70,2.1,0,0,-28.4,-22.9,0,0,0,0,0,0
2004,1,2,21,1024.5,0,2.1,1.4,88.7,1024.5,90,2.1,0,0,-37.9,-22.9,0,0,0,0,0,0
2004,1,2,22,1024.8,5,2.3,1.4,85.6,1024.8,90,2.6,0,0,-47.1,-22.9,0,0,0,0,0,0
2004,1,2,23,1024.7,8,2.5,1.4,82.6,1024.7,100,3.1,0,0,-55.1,-22.9,0,0,0,0,0,0
2004,1,2,24,1024.5,8,2.4,1.4,84.1,1024.5,90,2.6,0,0,-60.8,-22.9,0,0,0,0,0,0
2004,1,3,1,1024,7,2.7,1.7,84.3,1024,110,3.1,0,0,-62.5,-22.9,0,0,0,0,0,0
2004,1,3,2,1023.9,8,2.9,1.9,84.5,1023.9,70,2.6,0,0,-59.4,-22.9,0,0,0,0,0,0
2004,1,3,3,1023.5,8,3,2.1,86,1023.5,90,1.5,0,0,-52.8,-22.9,0,0,0,0,0,0
2004,1,3,4,1023.2,8,3.9,2.7,82.2,1023.2,100,3.1,0,0,-44.2,-22.9,0,0,0,0,0,0
2004,1,3,5,1022.8,8,4.1,3,83.8,1022.8,100,2.6,0,0,-34.9,-22.9,0,0,0,0,0,0
2004,1,3,6,1022.1,8,4.3,3.3,85.4,1022.1,120,3.6,0,0,-25.4,-22.9,0,0,0,0,0,0
2004,1,3,7,1021.8,8,3.9,3.3,91,1021.8,100,2.6,0,0,-16,-22.9,0,0,0,0,0,0
2004,1,3,8,1021.7,8,4.1,3.8,95.5,1021.7,120,3.1,0,0,-7.1,-22.9,0,0,0,0,0,0
2004,1,3,9,1021.7,8,4.2,4,97,1021.7,130,3.6,7,0,0.9,-22.9,0,0,0,0,0,0
2004,1,3,10,1021.9,8,4.1,4,98.5,1021.9,110,2.6,23,0,7.6,-22.9,0,0,0,0,0,0
2004,1,3,11,1022,8,4.6,4.6,100,1022,130,2.6,43,0,12.8,-22.9,0,0,0,0,0,0
2004,1,3,12,1022,7,5.8,5.7,98.6,1022,140,2.6,115,69,15.9,-22.9,0,0,0,0,0,0
2004,1,3,13,1021.7,8,6.8,6.8,100,1021.7,180,2.1,58,0,16.8,-22.9,0,0,0,0,0,0
2004,1,3,14,1021.2,8,5.9,5.9,100,1021.2,90,2.1,52,0,15.2,-22.9,0,0,0,0,0,0
2004,1,3,15,1020.7,8,5.8,5.8,100,1020.7,90,2.6,38,0,11.4,-22.9,0,0,0,0,0,0
2004,1,3,16,1020.7,8,6,6,100,1020.7,100,2.6,33,0,5.7,-22.9,0,0,0,0,0,0
2004,1,3,17,1020.9,7,6,6,100,1020.9,110,2.6,2,0,-1.5,-22.9,0,0,0,0,0,0
2004,1,3,18,1020.5,7,6.7,6.6,98.6,1020.5,150,2.6,0,0,-9.8,-22.9,0,0,0,0,0,0
2004,1,3,19,1020.7,8,7.2,7.2,100,1020.7,140,2.6,0,0,-18.8,-22.9,0,0,0,0,0,0
2004,1,3,20,1020.6,8,7.4,7.4,100,1020.6,150,3.6,0,0,-28.3,-22.9,0,0,0,0,0,0
2004,1,3,21,1020.8,8,7.8,7.8,100,1020.8,160,2.6,0,0,-37.8,-22.9,0,0,0,0,0,0
2004,1,3,22,1020.9,8,8.3,8.3,100,1020.9,170,2.6,0,0,-46.9,-22.9,0,0,0,0,0,0
2004,1,3,23,1021.1,8,8.1,8.1,100,1021.1,50,1.5,0,0,-55,-22.9,0,0,0,0,0,0
2004,1,3,24,1020.9,8,8.1,8.1,100,1020.9,50,1.5,0,0,-60.7,-22.9,0,0,0,0,0,0
2004,1,4,1,1020.9,8,8,8,100,1020.9,40,3.1,0,0,-62.4,-22.8,0,0,0,0,0,0
2004,1,4,2,1020.8,8,8,8,100,1020.8,60,2.6,0,0,-59.3,-22.8,0,0,0,0,0,0
2004,1,4,3,1020.9,8,8,8,100,1020.9,310,1,0,0,-52.7,-22.8,0,0,0,0,0,0
2004,1,4,4,1021,7,7.9,7.9,100,1021,340,1.5,0,0,-44.2,-22.8,0,0,0,0,0,0
2004,1,4,5,1021,8,7.6,7.6,100,1021,330,1,0,0,-34.9,-22.8,0,0,0,0,0,0
2004,1,4,6,1020.7,8,7.5,7.4,98.7,1020.7,30,1.5,0,0,-25.4,-22.8,0,0,0,0,0,0
2004,1,4,7,1020.8,8,7.4,7.3,98.7,1020.8,320,0.5,0,0,-16,-22.8,0,0,0,0,0,0
2004,1,4,8,1021.3,8,6.9,6.7,97.3,1021.3,10,1.5,0,0,-7.1,-22.8,0,0,0,0,0,0
2004,1,4,9,1021.5,3,6.1,5.7,94.5,1021.5,50,2.6,7,0,0.9,-22.8,0,0,0,0,0,0
2004,1,4,10,1022.7,4,5.5,5.1,94.4,1022.7,30,1.5,85,334,7.7,-22.8,0,0,0,0,0,0
2004,1,4,11,1022.7,0,6.1,5.5,91.8,1022.7,80,2.6,173,543,12.9,-22.8,0,0,0,0,0,0
2004,1,4,12,1023.2,0,7.9,6.8,86,1023.2,60,1,221,561,16,-22.8,0,0,0,0,0,0
2004,1,4,13,1023,0,7.4,7,94.8,1023,270,2.6,234,565,16.9,-22.8,0,0,0,0,0,0
2004,1,4,14,1022.6,2,8.6,7.5,86.4,1022.6,240,1,209,519,15.3,-22.8,0,0,0,0,0,0
2004,1,4,15,1022.4,4,9,7.3,79.4,1022.4,350,2.1,141,371,11.6,-22.8,0,0,0,0,0,0
2004,1,4,16,1022.1,1,8.6,7.1,81.5,1022.1,340,1.5,34,0,5.9,-22.8,0,0,0,0,0,0
2004,1,4,17,1022.3,5,7.6,6.9,90.9,1022.3,210,1.5,2,0,-1.3,-22.8,0,0,0,0,0,0
2004,1,4,18,1022.3,8,7.4,6.8,92.2,1022.3,200,2.1,0,0,-9.6,-22.8,0,0,0,0,0,0
2004,1,4,19,1022.2,8,7.5,6.7,89.6,1022.2,160,1,0,0,-18.6,-22.8,0,0,0,0,0,0
2004,1,4,20,1022,8,6.9,6.1,89.4,1022,170,2.6,0,0,-28.1,-22.8,0,0,0,0,0,0
2004,1,4,21,1021.8,7,7.3,6.5,89.5,1021.8,150,1.5,0,0,-37.6,-22.8,0,0,0,0,0,0
2004,1,4,22,1021.8,7,7.6,7.2,94.8,1021.8,170,1.5,0,0,-46.8,-22.8,0,0,0,0,0,0
2004,1,4,23,1021.6,7,8.9,7.8,86.5,1021.6,260,4.6,0,0,-54.9,-22.8,0,0,0,0,0,0
2004,1,4,24,1021.7,8,8.8,7.5,84,1021.7,260,4.1,0,0,-60.6,-22.8,0,0,0,0,0,0
2004,1,5,1,1021.3,8,8.7,7.7,87.6,1021.3,260,3.6,0,0,-62.3,-22.7,0,0,0,0,0,0
2004,1,5,2,1020.9,8,8.9,7.5,82.9,1020.9,250,5.7,0,0,-59.3,-22.7,0,0,0,0,0,0
2004,1,5,3,1020.5,8,9,8,87.8,1020.5,250,5.7,0,0,-52.7,-22.7,0,0,0,0,0,0
2004,1,5,4,1020.3,8,9,8.2,90.2,1020.3,260,4.6,0,0,-44.2,-22.7,0,0,0,0,0,0
2004,1,5,5,1020.1,7,8.7,8.4,96.2,1020.1,250,3.6,0,0,-34.9,-22.7,0,0,0,0,0,0
2004,1,5,6,1019.7,7,8.8,8.7,98.7,1019.7,250,2.1,0,0,-25.4,-22.7,0,0,0,0,0,0
