.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Southampton
Latitude, 50.779, Longitude, -1.835, Altitude,10

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2013,1,1,1,1000.9,7,9,8.6,95.1,1000.9,260,3.6,0,0,-62,-23,0,0,0,0,0,0
2013,1,1,2,1001.5,8,7.8,7,89.8,1001.5,300,4.1,0,0,-58.3,-23,0,0,0,0,0,0
2013,1,1,3,1002.4,7,7.3,6.1,84.6,1002.4,300,6.2,0,0,-51.3,-23,0,0,0,0,0,0
2013,1,1,4,1003.6,0,6.6,5.5,85.4,1003.6,290,7.2,0,0,-42.7,-23,0,0,0,0,0,0
2013,1,1,5,1003.9,0,5.5,4.6,87.5,1003.9,300,4.6,0,0,-33.4,-23,0,0,0,0,0,0
2013,1,1,6,1004.5,0,3.1,2.6,92.3,1004.5,280,3.6,0,0,-23.9,-23,0,0,0,0,0,0
2013,1,1,7,1005.4,1,2.5,2.2,95.3,1005.4,270,2.6,0,0,-14.7,-23,0,0,0,0,0,0
2013,1,1,8,1006.1,1,2.5,1.9,90.5,1006.1,280,3.6,0,0,-6.1,-23,0,0,0,0,0,0
2013,1,1,9,1007.1,0,2.1,1.7,93.6,1007.1,260,3.1,10,0,1.7,-23,0,0,0,0,0,0
2013,1,1,10,1007.6,0,3.8,3.1,89.6,1007.6,260,4.6,99,489,8.2,-23,0,0,0,0,0,0
2013,1,1,11,1009.1,0,5.1,4.2,87.3,1009.1,260,3.1,174,543,13,-23,0,0,0,0,0,0
2013,1,1,12,1010,0,6.8,5.4,81.6,1010,290,4.6,216,559,15.7,-23,0,0,0,0,0,0
2013,1,1,13,1010.3,0,7.6,6.1,80.9,1010.3,300,5.7,223,561,16.1,-23,0,0,0,0,0,0
2013,1,1,14,1011,0,7.8,5.7,73.7,1011,300,5.7,194,552,14.2,-23,0,0,0,0,0,0
2013,1,1,15,1011.8,5,8.1,5.6,69.3,1011.8,290,7.7,111,268,10.2,-23,0,0,0,0,0,0
2013,1,1,16,1012.4,0,7.1,5.3,76.8,1012.4,290,5.1,23,0,4.3,-23,0,0,0,0,0,0
2013,1,1,17,1012.9,0,6.6,4.9,77.6,1012.9,300,4.6,0,0,-3.1,-23,0,0,0,0,0,0
2013,1,1,18,1013.7,0,5.8,4.3,79.5,1013.7,290,5.7,0,0,-11.4,-23,0,0,0,0,0,0
